    Step 	 <(r-r')^2> 	 <(v-v')^2> 
177	8.32824e-10	1.96738e-07
178	8.51576e-10	2.00065e-07
179	8.70045e-10	2.20539e-07
180	8.88364e-10	2.28268e-07
181	9.0659e-10	2.33182e-07
182	9.28013e-10	2.3755e-07
183	9.53482e-10	2.40841e-07
184	9.69641e-10	2.41208e-07
185	9.88544e-10	2.38647e-07
186	1.00769e-09	2.35132e-07
187	1.0275e-09	2.33182e-07
188	1.04805e-09	2.37184e-07
189	1.06933e-09	2.48907e-07
190	1.08174e-09	2.61124e-07
191	1.10397e-09	2.70468e-07
192	1.12699e-09	2.77299e-07
193	1.15615e-09	2.82808e-07
194	1.18026e-09	2.88365e-07
195	1.20476e-09	2.94897e-07
196	1.22837e-09	3.01946e-07
197	1.25359e-09	3.08344e-07
198	1.27918e-09	3.1328e-07
199	1.30517e-09	3.15567e-07
200	1.33807e-09	3.11234e-07
201	1.36873e-09	3.01522e-07
202	1.39553e-09	3.09205e-07
203	1.42291e-09	3.10173e-07
204	1.45095e-09	3.05035e-07
205	1.47971e-09	2.9699e-07
206	1.50922e-09	2.85256e-07
207	1.53953e-09	2.71132e-07
208	1.57779e-09	2.5801e-07
209	1.60562e-09	2.49014e-07
210	1.63875e-09	2.42853e-07
211	1.67268e-09	2.36423e-07
212	1.70736e-09	2.29352e-07
213	1.7427e-09	2.23751e-07
214	1.77864e-09	2.25215e-07
215	1.8151e-09	2.32705e-07
216	1.852e-09	2.40156e-07
217	1.88922e-09	2.48083e-07
218	1.92668e-09	2.56715e-07
219	1.96428e-09	2.65984e-07
220	2.00668e-09	2.76314e-07
221	2.04542e-09	2.88298e-07
222	2.08564e-09	3.02363e-07
223	2.12328e-09	3.18481e-07
224	2.16047e-09	3.35625e-07
225	2.19825e-09	3.5551e-07
226	2.23627e-09	3.73458e-07
227	2.2747e-09	3.87627e-07
228	2.31375e-09	3.935e-07
229	2.33649e-09	3.93477e-07
230	2.37721e-09	3.70325e-07
231	2.41795e-09	3.78176e-07
232	0.0725585	3.86575e-07
233	2.49026e-09	4.08043e-07
234	2.56192e-09	4.32918e-07
235	2.61324e-09	4.53022e-07
236	2.66677e-09	4.72047e-07
237	2.72247e-09	4.90468e-07
238	2.78137e-09	5.03377e-07
239	2.84113e-09	5.0933e-07
240	2.90361e-09	5.11176e-07
241	2.96717e-09	5.11739e-07
242	3.03233e-09	5.11413e-07
243	3.09904e-09	5.09494e-07
244	3.1672e-09	5.04694e-07
245	3.23676e-09	4.94909e-07
246	3.30766e-09	4.78767e-07
247	3.37984e-09	4.61929e-07
248	3.45323e-09	4.52269e-07
249	3.52779e-09	4.47073e-07
250	3.60344e-09	4.50318e-07
251	3.72499e-09	4.59476e-07
252	3.80385e-09	4.68823e-07
253	3.88364e-09	4.79042e-07
254	3.96403e-09	4.90663e-07
255	4.04562e-09	5.03354e-07
256	4.12816e-09	5.15648e-07
257	4.21174e-09	5.24816e-07
258	4.29649e-09	5.28587e-07
259	4.38246e-09	5.28146e-07
260	4.46975e-09	5.25721e-07
261	4.55833e-09	5.18197e-07
262	4.64813e-09	5.08694e-07
263	4.73898e-09	5.00993e-07
264	4.83074e-09	4.89156e-07
265	4.92328e-09	4.87242e-07
266	5.02556e-09	4.97767e-07
267	5.11985e-09	5.04435e-07
268	5.21498e-09	5.09936e-07
269	5.31026e-09	5.15255e-07
270	5.40771e-09	5.22723e-07
271	5.5462e-09	5.33497e-07
272	5.64801e-09	5.484e-07
273	5.73499e-09	5.6375e-07
274	5.84003e-09	5.79565e-07
275	5.94693e-09	5.95805e-07
276	6.05559e-09	6.13044e-07
277	6.12405e-09	6.33025e-07
278	6.23969e-09	6.60803e-07
279	6.33739e-09	6.93821e-07
280	6.45651e-09	7.2767e-07
281	6.57035e-09	7.64681e-07
282	6.67055e-09	8.06899e-07
283	6.80368e-09	8.44969e-07
284	6.921e-09	8.68404e-07
285	7.0404e-09	8.62043e-07
286	7.16215e-09	9.22431e-07
287	7.28644e-09	9.41273e-07
288	7.41339e-09	9.3515e-07
289	7.54305e-09	9.20242e-07
290	7.67551e-09	9.07777e-07
291	7.81093e-09	8.9442e-07
292	7.94953e-09	8.78826e-07
293	8.0916e-09	8.67682e-07
294	8.23734e-09	8.64767e-07
295	8.39472e-09	8.72318e-07
296	8.5493e-09	8.85365e-07
297	8.70828e-09	8.96121e-07
298	8.8453e-09	9.00508e-07
299	8.99977e-09	8.99172e-07
300	9.1403e-09	8.93136e-07
301	9.31677e-09	8.81398e-07
302	9.49766e-09	8.74006e-07
303	9.68264e-09	8.8057e-07
304	9.87134e-09	8.91516e-07
305	1.00514e-08	9.06876e-07
306	1.02469e-08	9.24639e-07
307	1.04452e-08	9.42552e-07
308	1.06462e-08	9.59093e-07
309	1.08499e-08	9.74346e-07
310	1.10562e-08	9.88051e-07
311	1.12633e-08	9.98613e-07
312	1.14752e-08	1.00477e-06
313	1.16903e-08	1.00697e-06
314	1.19086e-08	1.00789e-06
315	1.21267e-08	1.01232e-06
316	1.24467e-08	1.02601e-06
317	1.26826e-08	1.0546e-06
318	1.29185e-08	1.0961e-06
319	1.3159e-08	1.13363e-06
320	1.3404e-08	1.15493e-06
321	1.3617e-08	1.16197e-06
322	1.38684e-08	1.16159e-06
323	1.41259e-08	1.15799e-06
324	1.43882e-08	1.14106e-06
325	1.46555e-08	1.15856e-06
326	1.4928e-08	1.17698e-06
327	1.523e-08	1.20048e-06
328	1.55146e-08	1.2298e-06
329	1.58053e-08	1.26181e-06
330	1.61024e-08	1.29241e-06
331	1.6406e-08	1.31807e-06
332	1.67162e-08	1.33377e-06
333	1.70329e-08	1.33629e-06
334	1.73561e-08	1.31615e-06
335	1.76858e-08	1.26881e-06
336	1.80256e-08	1.26044e-06
337	1.83794e-08	1.25915e-06
338	1.87295e-08	1.26252e-06
339	1.90866e-08	1.26929e-06
340	1.9451e-08	1.29034e-06
341	1.9823e-08	1.33436e-06
342	2.02118e-08	1.39215e-06
343	2.06355e-08	1.44868e-06
344	2.09661e-08	1.49784e-06
345	2.13703e-08	1.54058e-06
346	2.17858e-08	1.5705e-06
347	2.21981e-08	1.58698e-06
348	2.26306e-08	1.60033e-06
349	2.30712e-08	1.63369e-06
350	2.35375e-08	1.69565e-06
351	2.39978e-08	1.74998e-06
352	2.44678e-08	1.792e-06
