    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.18173	-1.54907	        -3415.21	         3273.55	        -141.664
       1	 2.18182	-1.54575	        -3415.35	         3273.67	        -141.677
       2	 2.18201	-1.53563	        -3415.66	         3273.96	        -141.696
       3	 2.18216	-1.51827	        -3415.91	         3274.18	        -141.731
       4	 2.18198	-1.49286	        -3415.69	         3273.91	        -141.784
       5	 2.18103	-1.45811	        -3414.36	          3272.5	         -141.86
       6	 2.17872	-1.41227	        -3410.99	         3269.03	        -141.963
       7	 2.17421	-1.35298	        -3404.37	         3262.27	        -142.099
       8	 2.16644	-1.27727	        -3392.88	         3250.61	         -142.27
       9	 2.15409	-1.18162	        -3374.55	         3232.07	        -142.472
      10	 2.13569	-1.06225	        -3347.16	         3204.48	         -142.68
      11	 2.10991	-0.915954	        -3308.65	         3165.81	        -142.841
      12	 2.07607	-0.741678	        -3257.93	         3115.06	        -142.873
      13	  2.0349	-0.54261	           -3196	         3053.29	        -142.707
      14	   1.989	-0.327696	        -3126.81	         2984.44	        -142.365
      15	 1.94252	-0.110503	        -3056.72	         2914.73	        -141.995
      16	 1.89974	0.0950315	        -2992.31	         2850.56	        -141.754
      17	 1.86362	0.278982	        -2938.05	         2796.37	        -141.673
      18	 1.83545	0.436546	         -2895.8	         2754.12	         -141.68
      19	 1.81541	0.566362	        -2865.77	         2724.06	         -141.71
      20	 1.80319	0.668704	        -2847.48	         2705.73	         -141.75
      21	 1.79825	0.744819	        -2840.13	         2698.32	        -141.808
      22	 1.79983	0.796837	        -2842.57	         2700.69	        -141.876
      23	 1.80704	0.827517	        -2853.47	         2711.51	        -141.954
      24	  1.8188	0.840307	        -2871.24	         2729.15	        -142.088
      25	 1.83352	0.840294	        -2893.52	         2751.23	        -142.288
      26	 1.84914	0.834174	        -2917.12	         2774.66	        -142.461
      27	 1.86387	0.827876	        -2939.28	         2796.75	        -142.534
      28	 1.87679	0.824638	        -2958.68	         2816.13	        -142.544
      29	 1.88766	0.825685	        -2974.99	         2832.44	        -142.554
      30	 1.89638	 0.83175	         -2988.1	         2845.52	        -142.577
      31	 1.90286	 0.84345	        -2997.82	         2855.23	        -142.585
      32	 1.90722	0.860595	        -3004.32	         2861.77	        -142.542
      33	 1.91011	0.881387	        -3008.56	         2866.12	        -142.443
      34	 1.91265	0.902527	        -3012.28	         2869.92	        -142.359
      35	 1.91574	0.921172	        -3016.93	         2874.55	        -142.377
      36	 1.91944	0.937084	        -3022.58	         2880.11	        -142.464
      37	  1.9232	0.951915	        -3028.26	         2885.74	        -142.516
      38	 1.92665	0.966586	        -3033.42	         2890.92	        -142.495
      39	 1.93005	 0.98024	        -3038.47	         2896.01	        -142.455
      40	 1.93378	0.991561	        -3044.08	         2901.62	        -142.467
      41	 1.93784	  1.0005	        -3050.25	         2907.71	        -142.545
      42	 1.94167	 1.00864	        -3056.09	         2913.45	        -142.635
      43	 1.94467	  1.0178	        -3060.61	         2917.96	        -142.651
      44	 1.94693	 1.02786	         -3063.9	         2921.34	        -142.558
      45	 1.94937	 1.03616	        -3067.46	            2925	        -142.465
      46	 1.95278	 1.04041	        -3072.62	         2930.12	        -142.499
      47	 1.95688	  1.0417	        -3078.88	         2936.27	        -142.606
      48	 1.96065	 1.04328	        -3084.62	         2941.92	        -142.701
      49	 1.96303	 1.04815	         -3088.3	         2945.49	        -142.801
      50	 1.96313	 1.05897	        -3088.55	         2945.64	        -142.911
      51	  1.9603	  1.0776	        -3084.33	         2941.39	        -142.933
      52	 1.95503	 1.10273	        -3076.26	         2933.49	        -142.765
      53	 1.94943	 1.12795	        -3067.65	         2925.09	         -142.56
      54	 1.94584	 1.14608	        -3062.23	         2919.71	        -142.527
      55	  1.9453	  1.1543	        -3061.43	          2918.9	        -142.536
      56	 1.94783	 1.15235	        -3065.34	          2922.7	        -142.642
      57	 1.95217	 1.14373	        -3072.07	         2929.19	        -142.872
      58	 1.95606	 1.13526	        -3077.96	         2935.04	         -142.92
      59	 1.95847	 1.12986	        -3081.48	         2938.66	        -142.825
      60	 1.95971	 1.12644	        -3083.26	         2940.51	        -142.754
      61	 1.96025	 1.12369	        -3084.05	         2941.33	        -142.722
      62	 1.96044	 1.12083	        -3084.27	          2941.6	        -142.672
      63	 1.96081	  1.1164	        -3084.73	         2942.16	        -142.572
      64	 1.96236	 1.10763	        -3086.94	         2944.49	        -142.457
      65	 1.96616	 1.09157	         -3092.6	         2950.19	        -142.405
      66	 1.97265	 1.06718	        -3102.38	         2959.91	         -142.47
      67	 1.98112	 1.03675	        -3115.24	         2972.62	        -142.621
      68	 1.99005	  1.0051	         -3128.8	         2986.03	        -142.772
      69	 1.99786	0.977207	         -3140.6	         2997.74	        -142.864
      70	 2.00348	0.956418	        -3149.06	         3006.17	        -142.891
      71	  2.0065	0.944095	        -3153.58	          3010.7	        -142.888
      72	 2.00691	0.940359	        -3154.19	         3011.31	        -142.881
      73	 2.00487	0.944785	        -3151.11	         3008.25	         -142.86
      74	 2.00073	0.956264	        -3144.86	         3002.04	         -142.82
