    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.63768	-1.31314	        -5235.07	         3959.08	        -1275.98
       1	 2.63138	-1.27652	         -5225.7	         3949.63	        -1276.07
       2	 2.61195	-1.16484	        -5196.76	         3920.49	        -1276.27
       3	 2.57784	-0.972745	        -5145.93	         3869.32	        -1276.62
       4	 2.52653	-0.691769	        -5069.43	         3792.36	        -1277.07
       5	 2.45492	-0.311834	        -4962.51	         3684.94	        -1277.56
       6	 2.36032	0.174625	        -4820.91	         3543.04	        -1277.87
       7	 2.24262	0.764065	        -4644.13	          3366.5	        -1277.63
       8	 2.10753	 1.42907	         -4440.4	         3163.86	        -1276.55
       9	 1.96845	  2.1102	        -4230.08	         2955.23	        -1274.85
      10	 1.84368	 2.72768	         -4041.4	         2768.08	        -1273.32
      11	 1.74915	 3.21224	        -3898.93	         2626.29	        -1272.63
      12	 1.69234	 3.53073	        -3813.91	         2541.07	        -1272.85
      13	 1.67135	 3.68944	        -3783.18	         2509.59	        -1273.59
      14	 1.67835	 3.72009	        -3794.55	         2520.09	        -1274.46
      15	 1.70358	 3.66301	        -3833.13	         2557.93	         -1275.2
      16	 1.73815	  3.5557	        -3885.52	         2609.79	        -1275.73
      17	 1.77543	 3.42727	        -3941.71	          2665.7	        -1276.01
      18	  1.8114	 3.29618	        -3995.72	         2719.67	        -1276.06
      19	 1.84469	 3.17026	        -4045.53	          2769.6	        -1275.94
      20	 1.87569	 3.04969	         -4091.9	         2816.09	        -1275.81
      21	  1.9051	 2.93309	        -4136.03	         2860.21	        -1275.82
      22	 1.93273	 2.82261	        -4177.61	         2901.66	        -1275.95
      23	 1.95734	 2.72439	         -4214.7	         2938.57	        -1276.14
      24	 1.97725	 2.64594	        -4244.73	         2968.43	         -1276.3
      25	 1.99124	 2.59281	        -4265.76	         2989.42	        -1276.34
      26	 1.99932	 2.56535	        -4277.76	         3001.55	        -1276.21
      27	 2.00332	 2.55639	        -4283.48	         3007.54	        -1275.94
      28	 2.00618	 2.55362	        -4287.57	         3011.83	        -1275.74
      29	 2.01016	 2.54744	        -4293.56	         3017.81	        -1275.76
      30	 2.01556	 2.53642	        -4301.82	          3025.9	        -1275.92
      31	 2.02123	 2.52494	        -4310.46	          3034.4	        -1276.05
      32	   2.026	 2.51748	        -4317.64	         3041.56	        -1276.08
      33	 2.02965	 2.51474	        -4323.03	         3047.04	        -1275.99
      34	 2.03289	  2.5137	         -4327.8	          3051.9	        -1275.91
      35	 2.03645	 2.51136	        -4333.16	         3057.24	        -1275.92
      36	 2.04023	 2.50837	        -4338.94	          3062.9	        -1276.04
      37	 2.04325	 2.50881	        -4343.63	         3067.44	        -1276.19
      38	 2.04432	 2.51768	        -4345.35	         3069.04	        -1276.31
      39	 2.04247	 2.53887	        -4342.65	         3066.26	        -1276.38
      40	 2.03739	 2.57364	        -4334.99	         3058.64	        -1276.34
      41	 2.02993	 2.61852	        -4323.63	         3047.46	        -1276.17
      42	 2.02208	 2.66524	        -4311.67	         3035.68	        -1275.99
      43	 2.01577	 2.70555	         -4302.2	         3026.21	        -1275.99
      44	 2.01134	 2.73788	        -4295.75	         3019.57	        -1276.17
      45	 2.00753	 2.76756	         -4290.2	         3013.85	        -1276.35
      46	 2.00302	 2.79996	        -4283.47	         3007.09	        -1276.38
      47	 1.99782	 2.83493	        -4275.56	         2999.29	        -1276.27
      48	 1.99317	 2.86733	        -4268.45	         2992.32	        -1276.13
      49	 1.99068	 2.89066	        -4264.61	         2988.59	        -1276.03
      50	 1.99133	  2.9009	        -4265.63	         2989.56	        -1276.07
