    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.29667	 6.92659	        -5438.69	         3459.45	        -1979.24
       1	 2.27117	 7.07333	        -5400.52	         3421.19	        -1979.33
       2	 2.19473	 7.51157	        -5285.97	         3306.54	        -1979.43
       3	 2.06852	 8.23066	        -5096.52	         3117.22	         -1979.3
       4	 1.89759	 9.19789	        -4839.23	         2860.82	        -1978.41
       5	 1.69553	 10.3353	        -4533.94	         2557.73	        -1976.21
       6	  1.4884	 11.4993	        -4219.87	         2247.04	        -1972.84
       7	 1.31158	 12.4964	        -3951.54	          1981.8	        -1969.73
       8	 1.19603	 13.1574	        -3777.06	         1808.48	        -1968.58
       9	 1.15379	 13.4161	        -3714.68	         1745.12	        -1969.56
      10	 1.17577	 13.3204	        -3749.71	          1778.1	        -1971.61
      11	 1.24077	  12.983	         -3849.3	         1875.59	        -1973.71
      12	 1.32585	 12.5265	        -3978.51	         2003.21	         -1975.3
      13	 1.41268	 12.0506	        -4109.68	         2133.46	        -1976.22
      14	 1.48969	 11.6199	        -4225.54	         2248.97	        -1976.57
      15	 1.55163	 11.2656	         -4318.4	         2341.89	        -1976.51
      16	 1.59804	 10.9932	        -4387.69	         2411.51	        -1976.18
      17	 1.63181	 10.7899	        -4437.82	         2462.15	        -1975.67
      18	 1.65793	 10.6302	        -4476.45	         2501.34	        -1975.12
      19	 1.68188	 10.4856	        -4512.02	         2537.26	        -1974.76
      20	 1.70743	 10.3357	         -4550.3	         2575.58	        -1974.71
      21	  1.7356	  10.175	        -4592.68	         2617.84	        -1974.84
      22	 1.76581	 10.0065	        -4638.09	         2663.16	        -1974.92
      23	 1.79742	 9.83325	        -4685.59	         2710.56	        -1975.02
      24	  1.8294	 9.66009	         -4733.8	         2758.54	        -1975.26
      25	  1.8597	 9.49801	         -4779.5	         2803.99	        -1975.51
      26	 1.88609	 9.35872	        -4819.23	         2843.57	        -1975.66
      27	 1.90749	 9.24779	         -4851.3	         2875.67	        -1975.64
      28	  1.9246	 9.16144	        -4876.79	         2901.33	        -1975.46
      29	 1.93963	 9.08778	        -4899.15	         2923.89	        -1975.27
      30	 1.95492	 9.01415	        -4922.07	         2946.83	        -1975.25
      31	  1.9712	 8.93636	        -4946.74	         2971.23	         -1975.5
      32	 1.98662	 8.86367	        -4970.35	         2994.38	        -1975.97
      33	 1.99764	 8.81486	        -4987.29	          3010.9	        -1976.38
      34	 2.00125	  8.8057	        -4992.84	         3016.32	        -1976.52
      35	 1.99711	 8.83792	        -4986.43	          3010.1	        -1976.33
      36	   1.988	 8.89685	        -4972.33	         2996.44	        -1975.89
      37	 1.97892	  8.9561	        -4958.27	         2982.82	        -1975.45
      38	 1.97441	 8.99107	        -4951.43	         2976.05	        -1975.38
      39	 1.97562	  8.9954	        -4953.56	         2977.88	        -1975.69
      40	 1.98016	 8.98193	        -4960.73	         2984.68	        -1976.04
      41	 1.98493	 8.96708	           -4968	         2991.83	        -1976.17
      42	 1.98863	 8.95734	        -4973.51	         2997.38	        -1976.13
      43	 1.99142	 8.95173	        -4977.69	         3001.57	        -1976.12
      44	 1.99346	 8.94996	        -4980.73	         3004.62	        -1976.11
      45	  1.9948	 8.95215	        -4982.72	         3006.64	        -1976.08
      46	 1.99546	  8.9584	        -4983.74	         3007.63	        -1976.11
      47	 1.99492	 8.97146	        -4983.01	         3006.83	        -1976.18
      48	 1.99246	  8.9952	        -4979.35	         3003.13	        -1976.22
      49	 1.98779	 9.03081	        -4972.28	         2996.13	        -1976.16
      50	 1.98176	  9.0737	        -4963.05	         2987.08	        -1975.97
      51	 1.97634	  9.1133	        -4954.69	         2978.95	        -1975.75
      52	 1.97364	 9.13841	        -4950.57	          2974.9	        -1975.67
      53	 1.97425	 9.14599	        -4951.66	         2975.81	        -1975.85
      54	 1.97642	 9.14562	        -4955.25	         2979.07	        -1976.18
      55	 1.97703	 9.15412	        -4956.45	         2979.98	        -1976.46
      56	 1.97354	 9.18505	        -4951.31	         2974.76	        -1976.55
      57	 1.96536	 9.24143	        -4938.94	         2962.49	        -1976.46
      58	 1.95382	 9.31589	        -4921.44	         2945.16	        -1976.28
