    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.61982	 1.19022	        -5646.82	         3933.33	        -1713.49
       1	 2.60501	 1.27256	         -5624.8	         3911.12	        -1713.68
       2	 2.55964	 1.52349	        -5557.11	         3843.06	        -1714.05
       3	  2.4813	 1.95126	        -5440.11	         3725.56	        -1714.55
       4	 2.36742	 2.56339	        -5269.68	         3554.73	        -1714.94
       5	 2.21783	 3.35508	        -5045.07	         3330.35	        -1714.72
       6	 2.03949	 4.28829	         -4776.1	         3062.83	        -1713.27
       7	 1.85098	 5.27026	        -4490.71	         2780.08	        -1710.64
       8	 1.68042	 6.16277	        -4232.32	         2524.23	        -1708.09
       9	 1.55386	 6.83815	        -4041.31	         2334.39	        -1706.92
      10	 1.48373	  7.2353	        -3936.48	         2229.19	        -1707.28
      11	 1.46681	 7.36807	        -3912.35	         2203.82	        -1708.52
      12	  1.4901	 7.29723	         -3948.7	         2238.75	        -1709.95
      13	 1.53774	  7.0978	        -4021.37	         2310.22	        -1711.15
      14	 1.59574	 6.83739	        -4109.19	         2397.21	        -1711.98
      15	 1.65378	 6.56693	        -4196.74	         2484.27	        -1712.47
      16	 1.70542	  6.3196	         -4274.4	         2561.73	        -1712.68
      17	 1.74751	 6.11282	        -4337.53	         2624.87	        -1712.66
      18	 1.77965	  5.9508	        -4385.53	         2673.08	        -1712.45
      19	 1.80362	 5.82676	        -4421.14	         2709.03	        -1712.11
      20	  1.8227	  5.7262	         -4449.4	         2737.65	        -1711.76
      21	 1.84048	 5.63281	        -4475.85	         2764.32	        -1711.52
      22	 1.85945	 5.53514	        -4504.26	         2792.77	        -1711.49
      23	 1.88021	 5.43038	        -4535.53	         2823.91	        -1711.62
      24	 1.90191	 5.32271	        -4568.23	         2856.46	        -1711.77
      25	 1.92339	 5.21762	        -4600.52	         2888.69	        -1711.83
      26	 1.94427	 5.11704	        -4631.79	         2920.01	        -1711.78
      27	 1.96522	 5.01809	         -4663.1	         2951.43	        -1711.67
      28	 1.98729	 4.91594	        -4696.22	         2984.54	        -1711.68
      29	 2.01029	 4.81149	        -4731.01	         3019.03	        -1711.98
      30	 2.03154	 4.71745	        -4763.32	         3050.92	        -1712.41
      31	 2.04741	  4.6515	        -4787.33	         3074.72	        -1712.61
      32	 2.05614	 4.62195	        -4800.33	         3087.82	        -1712.52
      33	  2.0585	 4.62464	         -4803.8	         3091.35	        -1712.45
      34	 2.05527	 4.65561	        -4799.05	         3086.51	        -1712.54
      35	 2.04642	 4.71546	        -4785.75	         3073.24	        -1712.51
      36	 2.03273	 4.79996	        -4765.06	         3052.69	        -1712.37
      37	 2.01597	 4.89961	        -4739.83	         3027.56	        -1712.27
      38	 1.99793	 5.00546	        -4712.66	         3000.49	        -1712.17
      39	 1.98062	 5.10746	        -4686.44	         2974.53	        -1711.91
      40	  1.9671	 5.19038	        -4665.87	         2954.25	        -1711.62
      41	 1.96042	 5.23897	        -4655.75	         2944.23	        -1711.52
      42	 1.96177	 5.24737	        -4657.86	         2946.26	         -1711.6
      43	 1.97038	 5.21923	        -4670.93	         2959.18	        -1711.75
      44	 1.98437	 5.16341	        -4692.12	         2980.15	        -1711.97
      45	 2.00116	 5.09234	        -4717.53	         3005.34	        -1712.19
      46	 2.01816	  5.0189	        -4743.16	         3030.84	        -1712.32
      47	 2.03351	 4.95232	        -4766.27	         3053.87	         -1712.4
      48	 2.04594	 4.89911	        -4785.03	         3072.51	        -1712.52
      49	 2.05407	 4.86634	        -4797.37	         3084.71	        -1712.66
      50	 2.05673	 4.86023	        -4801.39	         3088.69	         -1712.7
      51	 2.05384	  4.8814	        -4796.98	         3084.36	        -1712.62
      52	 2.04656	 4.92431	        -4785.96	         3073.44	        -1712.52
      53	 2.03664	 4.98069	        -4770.93	         3058.56	        -1712.37
      54	 2.02652	 5.03912	        -4755.49	         3043.38	        -1712.11
      55	 2.01924	 5.08467	         -4744.4	         3032.46	        -1711.94
      56	 2.01666	 5.10787	        -4740.65	         3028.59	        -1712.06
      57	 2.01802	 5.11219	        -4742.93	         3030.63	         -1712.3
      58	  2.0211	 5.10783	        -4747.74	         3035.25	        -1712.49
      59	 2.02397	 5.10361	        -4752.13	         3039.56	        -1712.57
      60	 2.02594	 5.10297	           -4755	         3042.51	        -1712.49
      61	 2.02757	 5.10314	        -4757.37	         3044.96	        -1712.41
      62	 2.02949	 5.10112	        -4760.29	         3047.84	        -1712.45
      63	 2.03127	 5.09919	        -4763.04	          3050.5	        -1712.53
      64	 2.03198	 5.10175	        -4764.13	         3051.58	        -1712.55
      65	 2.03124	 5.11069	        -4762.95	         3050.46	        -1712.49
      66	 2.02932	 5.12474	        -4759.98	         3047.58	         -1712.4
      67	 2.02695	 5.14072	        -4756.35	         3044.02	        -1712.33
      68	 2.02465	 5.15625	        -4752.93	         3040.58	        -1712.35
      69	 2.02228	 5.17223	        -4749.46	         3037.02	        -1712.45
      70	  2.0191	 5.19216	         -4744.8	         3032.25	        -1712.55
      71	 2.01451	 5.21901	        -4737.95	         3025.37	        -1712.58
      72	 2.00867	 5.25204	        -4729.11	         3016.61	         -1712.5
      73	 2.00281	 5.28543	        -4720.17	         3007.82	        -1712.35
      74	 1.99878	 5.31042	        -4713.99	         3001.77	        -1712.22
      75	 1.99793	 5.32026	        -4712.75	         3000.49	        -1712.26
      76	 1.99983	  5.3166	        -4715.84	         3003.34	         -1712.5
      77	 2.00222	 5.31007	        -4719.66	         3006.93	        -1712.73
