    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 1.64316	-0.291625	         -1408.1	         2465.71	         1057.62
       1	 1.64346	-0.291662	        -1408.55	         2466.16	         1057.61
       2	 1.64436	-0.291765	         -1409.9	         2467.52	         1057.61
       3	 1.64586	-0.291922	        -1412.15	         2469.77	         1057.61
       4	 1.64796	-0.292115	         -1415.3	         2472.91	         1057.61
       5	 1.65066	-0.292315	        -1419.34	         2476.96	         1057.61
       6	 1.65395	-0.292481	        -1424.28	         2481.89	         1057.61
       7	 1.65781	-0.292554	        -1430.08	         2487.69	         1057.61
       8	 1.66225	-0.292458	        -1436.73	         2494.34	         1057.61
       9	 1.66721	-0.292087	        -1444.19	         2501.79	          1057.6
      10	 1.67267	-0.291298	        -1452.38	         2509.97	         1057.59
      11	 1.67854	-0.289897	         -1461.2	         2518.77	         1057.58
      12	 1.68471	-0.287616	        -1470.48	         2528.04	         1057.56
      13	 1.69103	-0.284096	        -1479.99	         2537.52	         1057.53
      14	 1.69726	-0.278843	        -1489.37	         2546.86	         1057.49
      15	 1.70305	-0.271204	        -1498.12	         2555.54	         1057.43
      16	 1.70795	-0.26033	        -1505.54	         2562.89	         1057.35
      17	 1.71137	-0.245202	        -1510.77	         2568.03	         1057.26
      18	  1.7127	-0.224755	        -1512.84	         2570.01	         1057.17
      19	 1.71142	-0.198194	        -1510.98	          2568.1	         1057.12
      20	 1.70745	-0.165475	        -1505.02	         2562.14	         1057.12
      21	 1.70126	-0.127639	        -1495.69	         2552.86	         1057.17
      22	 1.69381	-0.0866096	        -1484.45	         2541.68	         1057.24
      23	 1.68619	-0.0445591	        -1472.96	         2530.25	          1057.3
      24	 1.67941	-0.00351099	        -1462.73	         2520.08	         1057.35
      25	 1.67433	0.0347742	        -1455.08	         2512.47	         1057.38
      26	 1.67152	0.0690854	        -1450.87	         2508.25	         1057.38
      27	 1.67106	0.099104	        -1450.23	         2507.56	         1057.33
      28	 1.67256	0.125383	        -1452.55	         2509.81	         1057.26
      29	 1.67537	   0.149	        -1456.82	         2514.02	          1057.2
      30	 1.67877	0.171111	        -1461.97	         2519.13	         1057.16
      31	 1.68228	0.192563	        -1467.24	         2524.39	         1057.15
      32	 1.68571	 0.21365	        -1472.36	         2529.53	         1057.17
      33	 1.68917	0.234139	        -1477.51	         2534.72	         1057.21
      34	 1.69297	0.253471	        -1483.17	         2540.42	         1057.26
      35	 1.69745	0.271046	        -1489.85	         2547.14	         1057.29
      36	 1.70283	0.286464	        -1497.91	         2555.21	         1057.29
      37	 1.70913	 0.29969	         -1507.4	         2564.67	         1057.27
      38	 1.71614	0.311132	        -1517.96	         2575.18	         1057.23
      39	 1.72342	0.321594	        -1528.93	          2586.1	         1057.16
      40	 1.73043	0.332046	         -1539.5	         2596.61	         1057.11
      41	 1.73677	0.343243	        -1549.04	         2606.13	         1057.08
      42	 1.74232	0.355439	        -1557.37	         2614.45	         1057.08
      43	 1.74712	0.368541	        -1564.58	         2621.65	         1057.07
      44	 1.75121	0.382486	        -1570.74	         2627.79	         1057.05
      45	 1.75461	0.397255	        -1575.83	         2632.88	         1057.04
      46	 1.75738	0.412664	        -1579.98	         2637.03	         1057.05
      47	 1.75975	0.428261	        -1583.52	          2640.6	         1057.08
      48	 1.76221	0.443182	        -1587.13	         2644.28	         1057.15
      49	 1.76555	 0.45598	        -1592.06	         2649.29	         1057.23
      50	  1.7706	0.465119	        -1599.62	         2656.88	         1057.26
      51	 1.77765	0.470103	        -1610.25	         2667.44	         1057.19
      52	 1.78616	0.471892	        -1623.11	          2680.2	          1057.1
      53	 1.79518	0.472198	        -1636.72	         2693.73	         1057.01
      54	  1.8038	0.472645	        -1649.73	         2706.68	         1056.95
      55	 1.81139	0.474429	        -1661.13	         2718.05	         1056.92
      56	 1.81761	0.478174	        -1670.45	         2727.39	         1056.94
      57	  1.8227	0.483553	        -1678.01	         2735.02	         1057.01
      58	 1.82726	0.489461	        -1684.81	         2741.86	         1057.05
      59	 1.83169	0.495193	        -1691.48	         2748.51	         1057.04
      60	 1.83591	0.500918	        -1697.81	         2754.83	         1057.03
      61	 1.83982	0.506781	        -1703.64	          2760.7	         1057.06
      62	 1.84367	0.512312	        -1709.37	         2766.48	         1057.11
      63	 1.84785	0.516806	        -1715.62	         2772.75	         1057.13
