    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.18871	-1.54267	        -2487.56	         2393.64	        -93.9222
       1	 2.18877	-1.53928	        -2487.63	          2393.7	        -93.9285
       2	 2.18888	 -1.5289	        -2487.77	         2393.83	        -93.9462
       3	 2.18885	 -1.5109	        -2487.77	         2393.79	        -93.9768
       4	 2.18833	-1.48423	        -2487.25	         2393.22	        -94.0234
       5	 2.18681	-1.44732	        -2485.65	         2391.56	        -94.0901
       6	 2.18354	-1.39801	        -2482.16	         2387.98	         -94.182
       7	 2.17752	-1.33341	         -2475.7	          2381.4	        -94.3042
       8	 2.16743	-1.24988	        -2464.82	         2370.36	        -94.4587
       9	 2.15166	-1.14312	        -2447.76	         2353.12	         -94.637
      10	 2.12849	-1.00869	        -2422.59	         2327.78	         -94.809
      11	 2.09653	-0.843398	        -2387.75	         2292.83	        -94.9124
      12	 2.05554	-0.647612	        -2342.89	         2248.02	        -94.8701
      13	 2.00732	-0.427805	        -2289.94	         2195.28	        -94.6543
      14	  1.9558	-0.196986	        -2233.29	         2138.95	        -94.3463
      15	 1.90596	0.028737	        -2178.53	         2084.45	        -94.0863
      16	 1.86202	0.235593	        -2130.36	          2036.4	        -93.9621
      17	 1.82629	0.415625	        -2091.29	         1997.33	        -93.9579
      18	 1.79929	0.566357	        -2061.81	         1967.81	        -93.9979
      19	 1.78066	0.688147	        -2041.46	         1947.43	        -94.0309
      20	  1.7698	0.782182	        -2029.63	         1935.56	        -94.0682
      21	 1.76591	0.850525	        -2025.46	         1931.31	        -94.1456
      22	 1.76769	0.896993	        -2027.51	         1933.25	        -94.2631
      23	 1.77342	0.926807	        -2033.87	         1939.52	        -94.3588
      24	 1.78183	0.944213	        -2043.07	         1948.71	        -94.3553
      25	 1.79278	0.950032	           -2055	         1960.69	        -94.3057
      26	 1.80651	0.943869	        -2070.08	          1975.7	        -94.3844
      27	 1.82189	 0.92955	        -2087.05	         1992.52	        -94.5351
      28	 1.83704	0.913338	        -2103.66	         2009.08	        -94.5816
      29	 1.85102	0.898222	        -2118.94	         2024.37	        -94.5683
      30	 1.86369	0.884779	        -2132.83	         2038.23	        -94.5989
      31	 1.87474	0.874287	        -2144.94	         2050.31	        -94.6231
      32	 1.88416	0.867239	        -2155.15	         2060.61	        -94.5377
      33	 1.89317	0.860263	        -2164.85	         2070.47	        -94.3803
      34	 1.90371	0.847769	        -2176.31	         2081.99	        -94.3221
      35	 1.91648	0.827808	        -2190.39	         2095.96	        -94.4278
      36	 1.93026	0.804322	         -2205.6	         2111.02	        -94.5764
      37	  1.9431	0.783206	        -2219.73	         2125.06	        -94.6688
      38	 1.95363	0.768554	        -2231.28	         2136.58	         -94.706
      39	 1.96127	0.762177	        -2239.64	         2144.93	        -94.7111
      40	 1.96603	0.764184	        -2244.82	         2150.14	        -94.6798
      41	 1.96853	0.772923	        -2247.48	         2152.87	         -94.605
      42	 1.96996	0.784994	        -2248.94	         2154.43	        -94.5155
      43	 1.97163	0.796481	        -2250.72	         2156.26	        -94.4611
      44	 1.97441	0.804875	        -2253.77	          2159.3	        -94.4685
      45	  1.9783	0.810119	        -2258.07	         2163.55	        -94.5191
      46	 1.98271	0.813936	        -2262.94	         2168.37	        -94.5635
      47	 1.98703	0.818065	        -2267.68	          2173.1	        -94.5814
      48	 1.99091	0.823399	        -2271.94	         2177.35	        -94.5975
      49	 1.99412	0.830583	        -2275.49	         2180.86	          -94.63
      50	 1.99635	 0.84047	        -2277.95	         2183.29	        -94.6595
      51	 1.99744	0.853451	        -2279.15	         2184.48	        -94.6665
      52	 1.99757	0.868788	        -2279.27	         2184.62	        -94.6429
      53	 1.99748	0.884258	        -2279.08	         2184.53	        -94.5472
      54	 1.99872	0.895259	         -2280.3	         2185.88	        -94.4163
      55	 2.00287	0.896778	        -2284.84	         2190.42	        -94.4151
      56	 2.00994	0.888779	        -2292.69	         2198.15	         -94.543
      57	 2.01837	 0.87614	           -2302	         2207.37	         -94.633
      58	 2.02671	0.863224	        -2311.15	         2216.49	        -94.6623
      59	 2.03406	0.852652	        -2319.27	         2224.53	        -94.7364
      60	 2.03919	0.848233	           -2325	         2230.14	        -94.8596
      61	 2.04049	0.854914	        -2326.49	         2231.56	        -94.9317
      62	  2.0371	0.875302	        -2322.74	         2227.86	        -94.8882
      63	 2.02981	0.907171	         -2314.6	         2219.87	        -94.7214
      64	 2.02103	0.943354	        -2304.77	         2210.28	        -94.4914
      65	 2.01395	0.974411	        -2296.87	         2202.54	        -94.3361
      66	 2.01073	0.993876	        -2293.38	         2199.02	        -94.3621
      67	 2.01124	 1.00216	        -2294.11	         2199.57	        -94.5349
      68	 2.01339	 1.00546	        -2296.66	         2201.92	        -94.7363
      69	 2.01459	 1.01136	         -2298.1	         2203.24	        -94.8604
      70	 2.01322	 1.02472	        -2296.61	         2201.74	        -94.8696
      71	 2.00909	 1.04596	        -2292.03	         2197.22	        -94.8115
      72	 2.00298	 1.07266	        -2285.31	         2190.55	        -94.7653
      73	 1.99576	 1.10224	         -2277.4	         2182.65	        -94.7534
      74	 1.98801	 1.13294	         -2268.9	         2174.17	        -94.7363
      75	  1.9803	 1.16288	        -2260.46	         2165.74	        -94.7171
      76	 1.97316	  1.1903	        -2252.65	         2157.93	        -94.7195
      77	 1.96696	  1.2141	        -2245.83	         2151.16	        -94.6709
      78	 1.96257	 1.23171	        -2240.91	         2146.36	        -94.5502
      79	  1.9615	 1.23858	        -2239.64	         2145.18	        -94.4617
      80	 1.96476	 1.23171	        -2243.24	         2148.74	        -94.4938
      81	 1.97184	 1.21273	        -2251.12	         2156.49	        -94.6235
      82	   1.981	 1.18711	        -2261.25	         2166.51	        -94.7446
      83	 1.99041	 1.16048	        -2271.59	          2176.8	        -94.7919
      84	 1.99901	 1.13616	        -2281.01	          2186.2	        -94.8045
      85	 2.00616	 1.11622	        -2288.86	         2194.02	        -94.8443
      86	 2.01102	 1.10328	        -2294.24	         2199.33	        -94.9118
      87	  2.0126	 1.10038	           -2296	         2201.06	        -94.9483
      88	 2.01047	 1.10881	        -2293.62	         2198.73	         -94.886
      89	 2.00555	 1.12582	        -2288.08	         2193.35	        -94.7273
      90	 1.99994	 1.14499	        -2281.78	         2187.22	        -94.5579
