    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	  2.1647	-1.56633	        -19968.5	         18944.1	        -1024.37
       1	 2.16478	-1.56293	        -19969.2	         18944.8	        -1024.42
       2	 2.16494	-1.55254	        -19970.7	         18946.2	        -1024.56
       3	 2.16499	-1.53452	        -19971.4	         18946.6	        -1024.81
       4	 2.16458	-1.50781	        -19968.2	           18943	         -1025.2
       5	 2.16316	-1.47077	        -19956.4	         18930.6	        -1025.76
       6	 2.15996	 -1.4211	        -19929.1	         18902.6	        -1026.55
       7	 2.15388	-1.35571	        -19877.1	         18849.5	        -1027.62
       8	  2.1435	 -1.2706	        -19787.6	         18758.6	        -1028.99
       9	 2.12705	-1.16107	        -19645.3	         18614.7	        -1030.54
      10	 2.10273	-1.02245	        -19433.9	           18402	        -1031.91
      11	 2.06935	-0.852109	        -19142.4	           18110	        -1032.42
      12	 2.02738	-0.65241	        -18774.3	         17742.8	        -1031.51
      13	 1.97956	-0.432712	          -18354	         17324.5	        -1029.53
      14	 1.93025	-0.207253	        -17920.7	         16893.1	        -1027.55
      15	 1.88369	0.0101081	        -17512.1	         16485.8	         -1026.3
      16	 1.84275	0.209635	        -17153.4	         16127.7	        -1025.73
      17	 1.80889	0.385908	        -16856.9	         15831.4	        -1025.51
      18	 1.78265	0.536324	        -16627.3	         15601.9	        -1025.45
      19	 1.76404	0.660058	        -16464.7	         15439.1	        -1025.58
      20	 1.75268	0.757767	        -16365.5	         15339.7	        -1025.84
      21	 1.74792	0.831139	        -16324.2	         15298.1	        -1026.05
      22	 1.74919	 0.88195	        -16335.3	         15309.2	        -1026.18
      23	  1.7559	0.911998	        -16394.5	         15367.9	        -1026.55
      24	 1.76715	0.924377	        -16493.5	         15466.3	        -1027.19
      25	 1.78157	0.923547	        -16620.4	         15592.5	        -1027.88
      26	  1.7977	0.914336	        -16762.1	         15733.5	        -1028.54
      27	 1.81412	0.901353	        -16906.3	         15877.2	        -1029.03
      28	 1.82981	 0.88821	        -17043.7	         16014.4	        -1029.26
      29	 1.84417	0.877066	        -17169.4	         16140.1	        -1029.34
      30	 1.85697	0.869011	        -17281.5	         16252.1	        -1029.37
      31	 1.86818	0.864547	        -17379.5	         16350.1	        -1029.38
      32	 1.87781	0.863865	        -17463.8	         16434.3	        -1029.45
      33	 1.88584	  0.8672	        -17534.2	         16504.6	        -1029.63
      34	 1.89209	0.875135	        -17589.2	         16559.3	        -1029.89
      35	 1.89634	 0.88836	        -17626.5	         16596.5	        -1029.99
      36	 1.89868	0.906615	        -17646.6	         16616.9	        -1029.69
      37	 1.89977	0.927803	        -17655.7	         16626.5	        -1029.17
      38	 1.90065	0.948779	          -17663	         16634.1	        -1028.84
      39	 1.90205	0.967193	        -17675.3	         16646.4	        -1028.87
      40	 1.90416	0.982428	          -17694	         16664.9	        -1029.14
      41	 1.90677	0.995068	        -17717.1	         16687.7	        -1029.38
      42	 1.90965	 1.00573	        -17742.3	         16712.9	        -1029.44
      43	 1.91277	 1.01447	        -17769.6	         16740.2	        -1029.45
      44	 1.91619	 1.02116	        -17799.6	         16770.1	        -1029.52
      45	 1.91985	 1.02604	        -17831.8	         16802.2	        -1029.65
      46	 1.92359	  1.0297	        -17864.7	         16834.9	        -1029.83
      47	 1.92714	 1.03296	        -17895.9	         16865.9	        -1030.03
      48	 1.93026	 1.03662	        -17923.3	         16893.1	        -1030.11
      49	 1.93289	 1.04086	        -17946.2	         16916.2	        -1029.98
      50	 1.93533	 1.04489	        -17967.2	         16937.5	        -1029.73
      51	   1.938	 1.04743	        -17990.6	         16960.9	        -1029.63
      52	 1.94113	 1.04786	        -18018.1	         16988.3	        -1029.81
      53	 1.94453	 1.04677	        -18048.1	         17018.1	        -1030.08
      54	 1.94786	 1.04523	        -18077.3	         17047.1	        -1030.19
      55	 1.95098	 1.04368	        -18104.5	         17074.4	        -1030.07
      56	 1.95405	  1.0417	        -18131.2	         17101.3	        -1029.93
      57	 1.95725	 1.03885	        -18159.2	         17129.3	        -1029.97
      58	 1.96043	 1.03558	        -18187.3	         17157.2	        -1030.13
      59	 1.96328	 1.03295	        -18212.3	         17182.1	        -1030.26
      60	 1.96549	 1.03189	        -18231.7	         17201.4	         -1030.3
      61	 1.96691	 1.03284	        -18244.1	         17213.8	        -1030.28
      62	 1.96758	 1.03571	        -18249.9	         17219.7	        -1030.18
      63	 1.96775	 1.03983	        -18251.1	         17221.1	        -1029.98
      64	 1.96781	 1.04401	        -18251.5	         17221.7	        -1029.78
      65	 1.96821	 1.04696	        -18254.9	         17225.2	        -1029.69
      66	 1.96921	 1.04792	        -18263.7	         17233.9	        -1029.73
      67	 1.97084	 1.04685	          -18278	         17248.2	        -1029.86
      68	 1.97294	 1.04427	        -18296.5	         17266.5	        -1030.02
      69	 1.97525	 1.04098	          -18317	         17286.8	        -1030.17
      70	 1.97752	 1.03781	          -18337	         17306.7	        -1030.38
      71	 1.97941	 1.03578	        -18353.8	         17323.2	        -1030.68
      72	  1.9805	 1.03618	        -18363.6	         17332.7	        -1030.93
      73	 1.98051	 1.03988	        -18363.7	         17332.8	         -1030.9
      74	 1.97966	 1.04632	        -18355.8	         17325.3	        -1030.49
      75	 1.97865	 1.05339	        -18346.7	         17316.5	        -1030.13
      76	 1.97809	 1.05928	        -18341.7	         17311.6	        -1030.13
      77	 1.97799	 1.06395	        -18341.1	         17310.7	        -1030.39
      78	  1.9779	  1.0687	        -18340.7	         17309.9	        -1030.74
      79	 1.97721	 1.07531	        -18334.9	         17303.9	        -1030.99
      80	  1.9755	 1.08497	          -18320	           17289	        -1031.02
      81	 1.97274	 1.09773	        -18295.7	         17264.8	        -1030.85
      82	 1.96925	 1.11258	        -18264.9	         17234.3	        -1030.64
      83	 1.96546	 1.12819	        -18231.7	         17201.1	        -1030.54
      84	 1.96171	  1.1435	        -18198.8	         17168.3	        -1030.45
      85	  1.9583	  1.1576	        -18168.8	         17138.5	        -1030.36
      86	 1.95549	 1.16963	        -18144.3	         17113.9	        -1030.41
      87	 1.95328	 1.17949	        -18125.3	         17094.6	        -1030.68
      88	  1.9514	 1.18806	          -18109	         17078.1	        -1030.94
      89	 1.94958	 1.19612	        -18093.1	         17062.2	        -1030.89
      90	 1.94798	 1.20319	        -18078.9	         17048.2	        -1030.66
      91	   1.947	  1.2081	        -18070.2	         17039.6	        -1030.56
      92	 1.94684	 1.21026	        -18068.9	         17038.2	        -1030.64
      93	  1.9474	 1.21001	        -18073.9	         17043.2	        -1030.76
      94	 1.94848	   1.208	        -18083.4	         17052.6	        -1030.83
      95	  1.9499	 1.20471	        -18095.9	           17065	        -1030.92
      96	  1.9515	 1.20062	          -18110	           17079	        -1031.06
      97	 1.95307	 1.19632	        -18123.9	         17092.7	        -1031.14
      98	 1.95451	 1.19211	        -18136.4	         17105.3	         -1031.1
      99	 1.95589	 1.18774	        -18148.4	         17117.4	        -1030.96
     100	 1.95743	 1.18257	        -18161.7	         17130.9	         -1030.8
     101	 1.95935	 1.17595	        -18178.4	         17147.7	        -1030.71
     102	 1.96173	 1.16767	        -18199.3	         17168.5	        -1030.77
     103	 1.96438	 1.15834	        -18222.6	         17191.7	        -1030.97
     104	 1.96687	 1.14925	        -18244.6	         17213.5	        -1031.14
     105	 1.96882	 1.14156	        -18261.7	         17230.5	        -1031.21
     106	 1.97003	 1.13584	        -18272.3	         17241.1	        -1031.14
     107	 1.97061	 1.13183	        -18277.1	         17246.2	        -1030.88
     108	 1.97097	 1.12832	        -18279.9	         17249.3	        -1030.55
