    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.18107	-1.55538	        -7516.34	         7187.92	        -328.425
       1	 2.18114	-1.55203	        -7516.61	         7188.17	         -328.44
       2	 2.18131	-1.54178	        -7517.22	         7188.74	        -328.487
       3	  2.1814	-1.52411	        -7517.61	         7189.03	        -328.573
       4	  2.1811	-1.49804	        -7516.72	         7188.02	        -328.705
       5	  2.1799	-1.46209	        -7512.98	         7184.09	        -328.894
       6	 2.17713	-1.41424	         -7504.1	         7174.95	        -329.155
       7	 2.17182	-1.35173	        -7486.96	         7157.46	        -329.504
       8	 2.16273	-1.27109	        -7457.45	          7127.5	        -329.949
       9	 2.14832	-1.16814	        -7410.46	         7079.99	        -330.469
      10	 2.12689	-1.03853	        -7340.37	         7009.39	        -330.982
      11	 2.09706	-0.878923	        -7242.39	         6911.07	        -331.317
      12	 2.05843	-0.68917	        -7115.03	         6783.76	        -331.265
      13	 2.01239	-0.474585	        -6962.84	         6632.06	        -330.779
      14	 1.96217	-0.246059	        -6796.61	         6466.54	        -330.069
      15	 1.91188	-0.0171997	        -6630.18	         6300.81	         -329.37
      16	 1.86551	0.198882	        -6476.76	            6148	         -328.76
      17	 1.82639	0.391149	        -6347.39	         6019.07	        -328.318
      18	 1.79677	0.551845	        -6249.62	         5921.46	        -328.155
      19	 1.77747	0.677748	        -6186.16	         5857.87	        -328.283
      20	 1.76788	0.770192	        -6154.87	         5826.27	        -328.601
      21	 1.76641	0.833661	        -6150.39	         5821.41	        -328.979
      22	 1.77112	0.873886	        -6166.24	         5836.95	         -329.29
      23	  1.7804	0.896012	        -6196.96	         5867.52	        -329.445
      24	 1.79317	0.903566	        -6239.19	          5909.6	        -329.587
      25	 1.80836	0.900127	        -6289.61	         5959.65	        -329.961
      26	 1.82414	0.891674	        -6342.06	         6011.66	        -330.394
      27	 1.83852	0.884666	        -6389.69	         6059.06	        -330.636
      28	 1.85034	0.882955	        -6428.66	         6098.01	        -330.654
      29	 1.85952	0.887133	        -6458.78	         6128.25	        -330.527
      30	  1.8667	0.895556	        -6482.32	         6151.93	        -330.388
      31	 1.87271	0.906062	        -6502.02	         6171.72	        -330.302
      32	 1.87817	 0.91695	        -6519.96	         6189.72	        -330.246
      33	 1.88351	0.927009	        -6537.59	         6207.34	         -330.25
      34	 1.88887	0.935877	        -6555.33	         6224.97	        -330.354
      35	 1.89394	0.944392	        -6572.17	         6241.69	        -330.482
      36	 1.89837	 0.95366	        -6586.79	         6256.28	        -330.503
      37	  1.9022	0.963538	         -6599.3	         6268.91	        -330.389
      38	 1.90602	0.972281	        -6611.75	         6281.52	        -330.228
      39	 1.91063	0.977606	        -6626.85	         6296.71	        -330.139
      40	  1.9165	0.978197	        -6646.24	         6316.05	        -330.189
      41	 1.92349	0.974586	        -6669.43	         6339.08	        -330.349
      42	 1.93094	0.968856	        -6694.16	         6363.62	        -330.546
      43	 1.93798	0.963663	        -6717.51	         6386.83	        -330.682
      44	   1.944	0.960958	        -6737.37	         6406.68	        -330.695
      45	 1.94886	0.961222	        -6753.34	         6422.68	        -330.653
      46	 1.95266	0.964138	        -6765.85	         6435.21	        -330.639
      47	  1.9555	 0.96947	         -6775.2	         6444.58	        -330.621
      48	 1.95752	 0.97683	        -6781.79	         6451.23	        -330.562
      49	 1.95901	 0.98533	        -6786.62	         6456.13	        -330.493
      50	  1.9603	0.993944	        -6790.84	         6460.37	        -330.469
      51	 1.96154	 1.00216	        -6794.99	         6464.48	        -330.511
      52	 1.96266	 1.01015	        -6798.73	         6468.17	         -330.56
      53	 1.96354	 1.01819	        -6801.65	         6471.07	        -330.578
      54	  1.9642	  1.0261	        -6803.79	         6473.24	        -330.552
      55	 1.96488	 1.03314	        -6805.93	         6475.48	        -330.451
      56	  1.9661	 1.03773	        -6809.85	         6479.51	         -330.34
      57	 1.96837	 1.03836	        -6817.32	         6486.98	        -330.333
      58	 1.97174	 1.03491	        -6828.53	         6498.07	        -330.455
      59	  1.9757	 1.02894	        -6841.74	         6511.12	        -330.624
      60	  1.9795	 1.02278	        -6854.41	         6523.66	        -330.755
      61	 1.98252	 1.01838	        -6864.45	         6533.62	        -330.831
      62	 1.98438	 1.01694	        -6870.63	         6539.76	        -330.871
      63	 1.98493	 1.01904	        -6872.42	         6541.54	        -330.872
      64	 1.98423	 1.02454	        -6870.07	         6539.24	        -330.822
      65	 1.98265	 1.03244	        -6864.75	         6534.04	        -330.709
      66	 1.98084	 1.04083	        -6858.64	         6528.09	        -330.549
      67	 1.97961	 1.04734	        -6854.47	         6524.02	        -330.446
      68	 1.97947	 1.05037	        -6854.04	         6523.57	        -330.471
      69	 1.98041	 1.04996	        -6857.21	         6526.67	         -330.54
      70	 1.98217	 1.04692	           -6863	         6532.46	        -330.549
      71	 1.98459	 1.04168	        -6870.97	         6540.44	        -330.537
      72	 1.98755	 1.03463	        -6880.78	         6550.17	        -330.607
      73	 1.99061	 1.02708	           -6891	         6560.26	        -330.746
      74	 1.99311	 1.02111	        -6899.37	         6568.51	        -330.856
      75	 1.99452	 1.01837	        -6904.05	         6573.15	        -330.897
      76	 1.99461	 1.01951	        -6904.34	         6573.45	        -330.888
      77	 1.99346	 1.02431	        -6900.48	         6569.65	        -330.824
      78	 1.99143	 1.03168	        -6893.67	         6562.99	        -330.686
      79	  1.9892	 1.03964	        -6886.18	         6555.64	        -330.538
      80	 1.98744	 1.04611	         -6880.3	         6549.82	        -330.481
      81	 1.98648	 1.05006	        -6877.15	         6546.66	        -330.491
      82	 1.98641	 1.05129	        -6876.88	         6546.42	        -330.467
      83	 1.98737	 1.04935	        -6880.02	          6549.6	        -330.419
      84	 1.98955	  1.0437	        -6887.24	         6556.79	        -330.457
      85	 1.99277	 1.03493	        -6898.01	          6567.4	        -330.611
      86	 1.99639	 1.02504	        -6910.12	         6579.33	         -330.79
      87	 1.99963	 1.01644	         -6920.9	         6589.98	        -330.916
      88	 2.00185	 1.01101	        -6928.31	         6597.31	        -331.008
      89	 2.00259	 1.01011	        -6930.84	         6599.74	        -331.102
      90	 2.00148	  1.0148	        -6927.21	         6596.11	        -331.103
      91	 1.99869	 1.02464	        -6917.79	         6586.91	        -330.877
      92	  1.9953	 1.03639	        -6906.23	         6575.72	        -330.504
      93	 1.99295	 1.04508	        -6898.22	         6567.99	        -330.223
      94	 1.99293	  1.0469	        -6898.09	         6567.91	         -330.18
      95	 1.99542	 1.04126	        -6906.49	         6576.13	        -330.366
      96	  1.9996	 1.03061	        -6920.52	         6589.89	        -330.632
      97	 2.00421	 1.01864	        -6935.87	         6605.08	        -330.792
      98	 2.00836	 1.00796	        -6949.56	         6618.77	        -330.792
      99	 2.01185	0.999194	        -6960.95	         6630.26	        -330.685
     100	 2.01494	0.991553	        -6971.04	         6640.44	        -330.595
     101	 2.01783	0.984403	        -6980.64	         6649.98	        -330.663
     102	 2.02018	0.978782	        -6988.55	         6657.73	        -330.819
     103	 2.02139	0.976568	        -6992.55	         6661.71	        -330.839
     104	 2.02139	0.977986	        -6992.35	          6661.7	        -330.655
     105	  2.0209	0.980851	        -6990.54	          6660.1	        -330.432
     106	 2.02082	0.982545	         -6990.2	         6659.81	         -330.39
     107	 2.02129	0.982595	        -6991.92	         6661.37	        -330.547
     108	 2.02168	0.982933	        -6993.41	         6662.67	        -330.735
     109	 2.02117	0.985993	        -6991.81	         6660.98	        -330.834
     110	 2.01926	0.993145	        -6985.51	         6654.67	        -330.838
     111	 2.01592	 1.00438	        -6974.44	         6643.69	        -330.751
     112	 2.01164	 1.01831	        -6960.12	         6629.58	        -330.542
     113	 2.00743	 1.03193	        -6945.95	         6615.71	        -330.242
     114	 2.00463	 1.04127	        -6936.51	         6606.48	        -330.032
     115	 2.00416	 1.04363	        -6934.99	         6604.91	        -330.081
     116	 2.00586	  1.0395	        -6940.85	         6610.52	        -330.332
     117	 2.00871	 1.03206	        -6950.55	         6619.92	        -330.625
     118	 2.01143	 1.02517	        -6959.74	         6628.87	        -330.868
     119	 2.01294	 1.02205	        -6964.86	         6633.85	        -331.016
     120	 2.01265	 1.02453	        -6963.93	         6632.89	        -331.034
     121	 2.01056	 1.03262	        -6956.97	         6626.01	        -330.959
     122	  2.0071	 1.04503	        -6945.49	          6614.6	        -330.888
     123	 2.00274	 1.06028	        -6931.08	         6600.24	        -330.845
     124	 1.99791	 1.07708	        -6915.09	         6584.33	        -330.758
     125	 1.99315	 1.09374	        -6899.29	         6568.64	         -330.65
     126	 1.98899	 1.10855	        -6885.55	         6554.94	        -330.613
     127	 1.98569	  1.1207	        -6874.66	         6544.05	        -330.619
     128	 1.98325	 1.13006	        -6866.66	         6536.03	        -330.635
     129	  1.9816	 1.13678	        -6861.27	         6530.57	        -330.694
     130	 1.98048	 1.14154	        -6857.65	         6526.87	        -330.775
     131	 1.97955	 1.14528	        -6854.66	         6523.82	         -330.84
     132	 1.97853	  1.1488	        -6851.35	         6520.46	        -330.886
     133	 1.97725	 1.15257	        -6847.14	         6516.26	         -330.88
     134	 1.97582	 1.15632	        -6842.32	         6511.53	        -330.783
     135	  1.9747	 1.15869	        -6838.47	         6507.83	        -330.639
     136	 1.97452	 1.15781	        -6837.81	         6507.26	        -330.552
     137	 1.97569	 1.15257	        -6841.67	         6511.09	        -330.581
     138	 1.97807	 1.14337	        -6849.66	         6518.96	        -330.707
     139	 1.98111	 1.13193	        -6859.84	         6528.96	        -330.882
     140	 1.98402	 1.12058	        -6869.56	         6538.55	        -331.009
     141	 1.98628	   1.111	        -6876.96	         6546.02	        -330.947
     142	 1.98812	 1.10264	        -6882.82	         6552.07	        -330.748
     143	 1.99019	 1.09353	         -6889.6	          6558.9	          -330.7
     144	 1.99259	 1.08342	        -6897.68	          6566.8	        -330.876
     145	 1.99462	 1.07455	        -6904.51	         6573.49	        -331.018
     146	 1.99567	 1.06884	         -6907.9	         6576.95	        -330.951
     147	 1.99593	 1.06574	        -6908.56	          6577.8	        -330.757
     148	 1.99611	 1.06318	        -6909.03	          6578.4	        -330.624
     149	 1.99676	 1.05965	        -6911.13	         6580.53	        -330.605
     150	 1.99796	 1.05499	        -6915.12	         6584.49	        -330.633
     151	  1.9995	 1.04983	         -6920.3	         6589.58	        -330.718
     152	 2.00087	 1.04563	        -6924.98	          6594.1	        -330.884
     153	 2.00129	 1.04469	        -6926.45	         6595.46	        -330.993
     154	 2.00021	 1.04856	        -6922.85	          6591.9	        -330.956
     155	 1.99768	 1.05693	        -6914.43	         6583.57	        -330.855
     156	 1.99414	 1.06844	        -6902.65	         6571.89	        -330.761
     157	 1.99008	 1.08148	        -6889.21	         6558.54	        -330.673
     158	 1.98605	  1.0944	        -6875.84	         6545.24	        -330.595
     159	 1.98252	 1.10562	        -6864.17	         6533.61	        -330.556
     160	 1.97982	 1.11408	        -6855.28	          6524.7	        -330.579
     161	 1.97802	 1.11946	        -6849.43	         6518.78	        -330.642
