    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	  2.1705	-1.56143	        -9389.83	         8934.58	        -455.251
       1	 2.17057	-1.55797	        -9390.16	         8934.88	         -455.28
       2	 2.17072	-1.54737	        -9390.84	          8935.5	        -455.349
       3	 2.17074	-1.52898	        -9391.05	         8935.58	         -455.47
       4	 2.17027	-1.50171	        -9389.31	         8933.65	        -455.656
       5	 2.16876	-1.46391	        -9383.36	         8927.44	        -455.927
       6	 2.16541	-1.41326	        -9369.96	         8913.65	        -456.307
       7	 2.15912	-1.34662	        -9344.56	         8887.74	        -456.819
       8	 2.14842	-1.25999	        -9301.19	         8843.73	        -457.461
       9	 2.13161	-1.14878	        -9232.69	         8774.54	         -458.15
      10	 2.10708	 -1.0089	         -9132.2	         8673.54	        -458.663
      11	 2.07409	-0.839028	        -8996.48	         8537.76	        -458.721
      12	 2.03359	-0.643002	         -8829.4	         8371.07	        -458.332
      13	 1.98801	-0.429332	        -8641.27	         8183.47	        -457.797
      14	 1.94036	-0.208205	        -8444.53	         7987.35	        -457.187
      15	 1.89379	0.0097955	         -8252.1	         7795.65	        -456.449
      16	 1.85151	0.213823	         -8077.4	         7621.62	        -455.783
      17	 1.81619	0.394717	        -7931.69	         7476.27	        -455.421
      18	 1.78932	0.547154	        -7821.03	         7365.66	        -455.362
      19	 1.77113	0.669711	        -7746.27	          7290.8	        -455.467
      20	 1.76109	0.763501	         -7705.1	         7249.46	        -455.636
      21	 1.75827	 0.83101	        -7693.72	         7237.87	        -455.849
      22	 1.76154	0.875633	        -7707.44	         7251.31	        -456.126
      23	 1.76951	0.901638	        -7740.59	         7284.12	        -456.476
      24	 1.78061	0.914023	        -7786.65	          7329.8	        -456.852
      25	 1.79326	0.917883	        -7839.04	         7381.88	        -457.162
      26	 1.80623	0.917395	        -7892.56	         7435.24	        -457.315
      27	 1.81888	0.914931	        -7944.62	         7487.31	        -457.313
      28	 1.83116	0.911117	        -7995.14	         7537.87	        -457.264
      29	 1.84326	0.905893	        -8044.93	         7587.68	         -457.25
      30	 1.85526	0.899436	        -8094.37	         7637.05	        -457.322
      31	  1.8669	0.892745	        -8142.52	            7685	        -457.525
      32	 1.87755	0.887967	        -8186.61	         7728.82	        -457.789
      33	 1.88641	0.887591	        -8223.23	         7765.29	        -457.938
      34	 1.89313	0.892758	        -8250.81	         7792.95	        -457.861
      35	 1.89816	 0.90219	        -8271.25	         7813.62	        -457.629
      36	 1.90242	0.913031	        -8288.68	         7831.18	          -457.5
      37	 1.90658	 0.92326	         -8305.9	         7848.32	        -457.579
      38	  1.9107	0.932738	        -8322.93	         7865.26	        -457.667
      39	 1.91467	0.941688	        -8339.28	         7881.58	        -457.699
      40	 1.91849	0.949964	        -8355.06	         7897.34	        -457.724
      41	 1.92229	0.957285	        -8370.66	         7912.97	        -457.689
      42	 1.92634	0.962871	        -8387.23	         7929.63	          -457.6
      43	 1.93103	0.965616	        -8406.52	         7948.95	        -457.574
      44	 1.93652	0.965166	        -8429.23	         7971.53	        -457.696
      45	  1.9424	0.962805	         -8453.7	         7995.72	        -457.982
      46	  1.9477	0.961458	        -8475.83	         8017.56	        -458.267
      47	 1.95152	0.963992	        -8491.57	         8033.27	        -458.303
      48	 1.95372	0.970845	         -8500.4	         8042.34	        -458.055
      49	 1.95514	0.979637	         -8505.9	         8048.18	        -457.726
      50	 1.95689	 0.98712	        -8512.93	         8055.36	         -457.57
      51	 1.95955	0.991656	        -8523.96	         8066.31	         -457.65
      52	 1.96291	0.993972	        -8538.02	         8080.16	         -457.86
      53	 1.96624	0.996309	        -8551.99	         8093.84	        -458.151
      54	 1.96848	 1.00175	        -8561.54	         8103.07	         -458.47
      55	 1.96859	  1.0134	        -8562.21	         8103.55	        -458.668
      56	 1.96601	 1.03296	        -8551.58	         8092.91	        -458.668
      57	 1.96088	 1.05985	        -8530.31	         8071.78	         -458.53
      58	 1.95393	 1.09174	        -8501.51	          8043.2	        -458.311
      59	 1.94629	 1.12519	        -8469.79	         8011.76	        -458.031
      60	 1.93928	 1.15608	        -8440.67	          7982.9	        -457.769
      61	 1.93412	 1.18058	        -8419.29	         7961.67	        -457.613
      62	 1.93164	 1.19612	        -8409.01	         7951.44	        -457.571
      63	 1.93215	  1.2017	        -8411.15	         7953.55	        -457.597
      64	 1.93561	 1.19748	        -8425.48	         7967.79	        -457.689
      65	 1.94151	 1.18495	        -8450.06	         7992.07	        -457.991
      66	 1.94861	 1.16789	         -8479.7	         8021.31	        -458.396
      67	 1.95539	 1.15109	        -8507.78	          8049.2	        -458.576
      68	 1.96091	 1.13741	        -8530.49	          8071.9	        -458.587
      69	 1.96485	 1.12786	        -8546.71	         8088.14	        -458.573
      70	  1.9672	 1.12269	        -8556.31	         8097.83	        -458.481
      71	 1.96825	 1.12115	        -8560.44	         8102.11	        -458.329
      72	 1.96849	 1.12175	        -8561.29	          8103.1	         -458.19
      73	 1.96842	 1.12299	        -8560.96	         8102.83	        -458.123
      74	 1.96833	 1.12403	        -8560.59	         8102.48	         -458.11
      75	 1.96833	 1.12449	        -8560.57	         8102.47	        -458.104
      76	 1.96846	  1.1242	        -8561.13	            8103	        -458.128
      77	 1.96867	 1.12321	        -8562.06	         8103.86	        -458.205
      78	 1.96881	 1.12197	        -8562.63	         8104.42	        -458.212
      79	   1.969	 1.12017	        -8563.21	         8105.22	        -457.991
      80	 1.96999	 1.11562	        -8567.01	         8109.28	        -457.735
