    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.17877	-1.55809	        -11551.8	         11032.5	        -519.248
       1	 2.17884	 -1.5548	        -11552.2	         11032.9	         -519.27
       2	   2.179	-1.54473	          -11553	         11033.7	        -519.342
       3	 2.17906	-1.52738	        -11553.5	           11034	        -519.471
       4	 2.17873	 -1.5018	          -11552	         11032.3	        -519.669
       5	 2.17752	-1.46656	        -11546.1	         11026.2	        -519.955
       6	 2.17475	-1.41968	        -11532.5	         11012.2	        -520.353
       7	 2.16948	-1.35846	        -11506.3	         10985.5	        -520.885
       8	 2.16047	-1.27953	        -11461.4	         10939.9	        -521.545
       9	  2.1463	-1.17899	        -11390.4	         10868.1	         -522.25
      10	 2.12559	-1.05338	        -11286.1	         10763.3	        -522.799
      11	  2.0976	-0.901216	        -11144.6	         10621.6	        -523.014
      12	 2.06259	-0.72424	        -10967.3	         10444.4	        -522.956
      13	  2.0217	-0.526958	          -10760	         10237.4	        -522.612
      14	 1.97696	-0.316513	        -10532.7	         10010.9	        -521.827
      15	 1.93143	-0.103243	        -10301.2	         9780.36	        -520.817
      16	 1.88862	0.101175	        -10083.6	         9563.65	        -519.946
      17	 1.85156	0.286705	        -9895.38	            9376	        -519.382
      18	  1.8222	 0.44656	        -9746.53	         9227.39	        -519.142
      19	  1.8014	0.577487	        -9641.25	         9122.07	        -519.178
      20	 1.78902	0.679324	         -9578.8	          9059.4	        -519.403
      21	 1.78425	0.754172	        -9554.99	         9035.26	        -519.731
      22	 1.78589	0.805529	        -9563.67	         9043.56	        -520.109
      23	 1.79253	0.837656	        -9597.71	         9077.19	         -520.52
      24	 1.80269	0.855221	        -9649.54	         9128.58	        -520.958
      25	 1.81483	0.863041	        -9711.48	         9190.09	        -521.389
      26	 1.82757	0.865661	        -9776.31	         9254.57	         -521.74
      27	 1.83982	0.866683	        -9838.48	         9316.55	        -521.933
      28	 1.85099	0.868158	         -9895.1	         9373.14	        -521.959
      29	 1.86106	0.870544	        -9946.01	         9424.12	        -521.888
      30	 1.87031	0.873298	        -9992.71	         9470.91	        -521.799
      31	  1.8791	0.875592	        -10037.1	         9515.41	        -521.735
      32	 1.88773	0.876758	        -10080.9	         9559.14	        -521.731
      33	 1.89634	0.876616	        -10124.5	         9602.73	        -521.819
      34	  1.9048	0.875688	        -10167.5	         9645.56	        -521.971
      35	 1.91284	0.874927	        -10208.3	         9686.26	        -522.086
      36	 1.92031	0.874943	        -10246.1	         9724.06	        -522.086
      37	 1.92734	0.875467	        -10281.7	         9759.65	        -522.015
      38	 1.93424	0.875709	        -10316.6	         9794.58	        -521.995
      39	 1.94117	0.875316	        -10351.7	         9829.65	        -522.094
      40	 1.94793	0.874955	        -10386.2	         9863.88	        -522.304
      41	 1.95399	0.876247	        -10417.1	         9894.58	        -522.561
      42	 1.95869	0.881187	        -10441.1	         9918.33	        -522.765
      43	  1.9615	0.891235	        -10455.4	          9932.6	        -522.832
      44	 1.96238	 0.90656	        -10459.7	         9937.03	        -522.709
      45	 1.96181	0.925639	        -10456.6	         9934.16	        -522.437
      46	 1.96072	0.945698	        -10450.8	         9928.66	        -522.167
      47	 1.96005	0.963958	        -10447.2	         9925.22	        -522.018
      48	 1.96034	0.978728	        -10448.7	          9926.7	        -522.045
      49	 1.96161	 0.98992	        -10455.4	         9933.16	        -522.261
      50	 1.96334	0.999072	        -10464.5	          9941.9	        -522.567
      51	 1.96474	 1.00846	        -10471.8	         9948.99	        -522.777
      52	  1.9653	 1.01958	        -10474.6	         9951.82	        -522.795
      53	 1.96504	 1.03234	        -10473.2	         9950.51	        -522.659
