    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.17655	-1.55616	        -5909.25	         5645.12	        -264.125
       1	 2.17662	-1.55279	        -5909.44	          5645.3	        -264.142
       2	 2.17676	-1.54249	        -5909.84	         5645.66	        -264.179
       3	  2.1768	-1.52473	        -5910.02	         5645.78	        -264.244
       4	 2.17644	-1.49858	        -5909.18	         5644.84	        -264.342
       5	 2.17521	-1.46267	        -5906.14	         5641.66	        -264.482
       6	 2.17247	-1.41509	        -5899.22	         5634.55	        -264.672
       7	 2.16733	-1.35334	        -5886.15	         5621.23	        -264.921
       8	 2.15867	-1.27427	           -5864	         5598.77	        -265.231
       9	 2.14511	-1.17422	        -5829.22	         5563.63	        -265.586
      10	 2.12519	-1.04942	        -5777.94	            5512	        -265.936
      11	 2.09765	-0.896901	        -5706.79	         5440.61	        -266.187
      12	 2.06195	-0.716101	        -5614.31	         5348.09	        -266.224
      13	 2.01888	-0.510468	        -5502.44	         5236.45	        -265.983
      14	 1.97077	 -0.2882	        -5377.26	         5111.75	        -265.507
      15	  1.9212	-0.0612542	        -5248.19	         4983.26	        -264.924
      16	 1.87424	0.157017	        -5125.92	         4861.53	        -264.389
      17	 1.83349	0.354664	        -5019.95	         4755.92	        -264.033
      18	 1.80141	0.523391	        -4936.66	         4672.75	        -263.907
      19	 1.77893	0.659487	        -4878.47	         4614.49	        -263.978
      20	 1.76573	0.763296	        -4844.44	         4580.27	        -264.165
      21	 1.76064	0.837858	        -4831.49	         4567.09	        -264.398
      22	 1.76214	0.887566	        -4835.59	         4570.96	        -264.631
      23	 1.76863	0.917152	        -4852.63	         4587.81	        -264.823
      24	 1.77883	0.930789	        -4879.15	         4614.24	        -264.917
      25	 1.79198	0.931158	        -4913.22	         4648.33	        -264.896
      26	  1.8079	0.919334	        -4954.47	         4689.59	        -264.881
      27	 1.82633	0.896627	        -5002.38	         4737.36	        -265.013
      28	 1.84632	0.866528	        -5054.41	         4789.17	        -265.236
      29	 1.86642	0.833985	         -5106.7	         4841.26	        -265.446
      30	 1.88519	0.803754	        -5155.55	         4889.93	        -265.622
      31	 1.90152	0.779721	        -5197.98	         4932.24	        -265.736
      32	 1.91473	0.764346	        -5232.22	         4966.47	        -265.745
      33	 1.92481	0.758052	        -5258.27	         4992.61	        -265.656
      34	 1.93234	0.759414	        -5277.68	         5012.13	        -265.551
      35	 1.93801	0.766519	        -5292.36	         5026.83	        -265.528
      36	 1.94217	0.778431	        -5303.19	          5037.6	         -265.59
      37	 1.94474	0.795313	        -5309.93	         5044.27	        -265.658
      38	 1.94565	0.817345	         -5312.3	         5046.63	        -265.673
      39	 1.94508	0.843826	         -5310.8	         5045.15	        -265.641
      40	 1.94348	0.873244	        -5306.64	         5041.01	        -265.625
      41	 1.94121	0.904295	        -5300.84	         5035.13	        -265.707
      42	 1.93818	0.936991	        -5293.13	         5027.26	        -265.867
      43	 1.93395	0.972328	        -5282.27	          5016.3	        -265.971
      44	 1.92844	 1.01031	        -5267.92	         5002.01	        -265.905
      45	 1.92246	 1.04828	        -5252.18	         4986.51	        -265.665
      46	 1.91773	 1.08105	        -5239.61	         4974.25	        -265.357
      47	 1.91615	 1.10286	         -5235.4	         4970.17	        -265.225
      48	 1.91854	 1.11125	        -5241.78	         4976.36	        -265.422
      49	 1.92393	 1.10919	        -5256.09	         4990.33	        -265.756
      50	 1.93047	 1.10229	        -5273.26	         5007.28	        -265.985
      51	 1.93667	   1.095	        -5289.42	         5023.34	         -266.08
      52	 1.94177	 1.08961	        -5302.67	         5036.58	        -266.097
      53	 1.94561	 1.08677	        -5312.58	         5046.53	        -266.049
      54	  1.9485	 1.08574	        -5319.93	         5054.02	        -265.915
      55	 1.95126	 1.08429	        -5326.91	         5061.17	        -265.737
      56	 1.95487	 1.07959	         -5336.2	         5070.53	        -265.666
      57	 1.95974	 1.07055	        -5348.93	         5083.14	        -265.788
      58	 1.96527	 1.05909	        -5363.48	         5097.49	        -265.982
      59	 1.97047	 1.04842	        -5377.06	         5110.96	        -266.101
      60	 1.97456	 1.04089	        -5387.73	         5121.58	        -266.156
      61	 1.97712	 1.03786	        -5394.41	         5128.21	        -266.207
      62	 1.97784	 1.04029	         -5396.3	         5130.07	        -266.224
      63	 1.97668	 1.04839	         -5393.2	         5127.05	        -266.153
      64	 1.97406	  1.0609	        -5386.28	         5120.26	        -266.023
      65	 1.97071	 1.07557	        -5377.52	         5111.59	         -265.93
      66	 1.96723	 1.09066	        -5368.48	         5102.57	        -265.908
      67	 1.96382	 1.10546	        -5359.66	         5093.73	        -265.924
      68	  1.9605	 1.11989	        -5351.02	         5085.11	         -265.91
      69	 1.95742	 1.13346	        -5342.94	         5077.13	        -265.809
      70	 1.95512	 1.14449	        -5336.86	         5071.18	        -265.687
      71	 1.95417	 1.15121	        -5334.39	         5068.71	        -265.679
      72	 1.95456	 1.15359	         -5335.5	         5069.73	        -265.765
      73	 1.95582	  1.1531	        -5338.79	         5072.99	        -265.798
      74	 1.95767	 1.15053	        -5343.51	         5077.79	        -265.714
      75	 1.96041	 1.14503	        -5350.49	         5084.89	        -265.598
      76	 1.96449	 1.13524	        -5361.04	         5095.46	        -265.579
      77	 1.96989	 1.12125	        -5375.17	         5109.47	        -265.694
      78	 1.97593	 1.10518	        -5390.98	         5125.11	        -265.873
      79	 1.98155	 1.09013	        -5405.71	         5139.69	        -266.013
      80	 1.98595	 1.07861	        -5417.13	         5151.08	        -266.059
      81	 1.98879	  1.0716	        -5424.48	         5158.45	        -266.023
      82	 1.99027	 1.06866	        -5428.25	         5162.29	        -265.961
      83	 1.99077	 1.06873	        -5429.49	         5163.57	        -265.915
      84	 1.99062	 1.07088	        -5429.09	          5163.2	        -265.884
      85	  1.9901	 1.07441	        -5427.72	         5161.84	        -265.875
      86	 1.98929	 1.07899	        -5425.65	         5159.74	        -265.912
      87	 1.98806	 1.08501	         -5422.5	         5156.56	        -265.945
      88	 1.98631	 1.09276	        -5417.94	         5152.03	        -265.912
      89	 1.98419	 1.10171	        -5412.39	         5146.52	        -265.876
      90	 1.98183	 1.11131	        -5406.32	          5140.4	        -265.919
      91	 1.97904	 1.12204	        -5399.18	         5133.18	        -265.998
      92	 1.97547	 1.13488	        -5389.96	         5123.92	        -266.044
      93	 1.97092	  1.1502	        -5378.18	         5112.13	        -266.048
      94	 1.96552	 1.16753	        -5364.14	         5098.14	        -265.997
      95	 1.95979	 1.18526	        -5349.13	         5083.28	        -265.848
      96	  1.9548	 1.20016	        -5335.94	         5070.35	        -265.597
      97	  1.9521	 1.20759	         -5328.7	         5063.35	        -265.349
      98	  1.9531	 1.20333	        -5331.22	         5065.95	        -265.268
      99	  1.9582	 1.18623	        -5344.59	         5079.16	        -265.426
     100	 1.96643	 1.15923	        -5366.22	          5100.5	        -265.721
     101	 1.97598	 1.12789	        -5391.25	         5125.24	        -266.012
     102	 1.98493	 1.09802	        -5414.67	         5148.45	        -266.218
     103	 1.99189	 1.07401	        -5432.77	         5166.48	         -266.29
     104	 1.99623	 1.05791	        -5443.96	         5177.74	        -266.225
     105	 1.99815	 1.04933	         -5448.8	         5182.71	        -266.085
     106	 1.99835	 1.04633	        -5449.16	         5183.23	        -265.931
     107	 1.99769	 1.04644	        -5447.31	         5181.51	        -265.795
     108	 1.99696	 1.04732	        -5445.33	         5179.63	          -265.7
     109	 1.99675	 1.04724	        -5444.75	         5179.09	        -265.654
     110	 1.99736	 1.04528	        -5446.31	         5180.65	        -265.657
     111	 1.99874	 1.04147	        -5449.97	         5184.25	        -265.726
     112	  2.0005	 1.03702	        -5454.65	          5188.8	        -265.853
     113	 2.00191	 1.03406	        -5458.42	         5192.44	         -265.98
     114	 2.00223	 1.03476	        -5459.36	          5193.3	        -266.068
     115	 2.00097	 1.04062	        -5456.15	         5190.03	        -266.119
     116	 1.99788	 1.05232	        -5448.15	         5182.02	        -266.131
     117	 1.99302	 1.06967	         -5435.5	         5169.41	        -266.091
     118	  1.9868	 1.09136	        -5419.26	         5153.28	         -265.98
     119	 1.98005	 1.11485	        -5401.59	         5135.79	        -265.802
     120	 1.97393	  1.1366	        -5385.57	         5119.94	        -265.622
     121	 1.96957	 1.15323	        -5374.15	         5108.62	        -265.528
     122	 1.96753	 1.16297	        -5368.92	         5103.34	        -265.572
     123	 1.96759	 1.16645	        -5369.28	         5103.51	        -265.772
     124	 1.96868	  1.1668	        -5372.39	         5106.32	        -266.075
     125	 1.96925	 1.16861	        -5374.13	         5107.79	        -266.338
     126	 1.96812	 1.17546	        -5371.26	         5104.88	        -266.383
     127	 1.96531	 1.18737	        -5363.83	         5097.59	        -266.244
     128	 1.96168	 1.20164	        -5354.35	         5088.18	        -266.168
     129	 1.95796	 1.21618	        -5344.65	         5078.53	        -266.116
     130	 1.95469	 1.22935	        -5336.05	         5070.07	        -265.978
     131	 1.95272	  1.2386	        -5330.75	         5064.94	        -265.804
     132	 1.95295	 1.24109	        -5331.26	         5065.55	        -265.713
     133	 1.95575	 1.23567	        -5338.66	         5072.81	        -265.844
     134	 1.96028	 1.22477	        -5350.72	         5084.56	        -266.159
     135	 1.96477	 1.21364	        -5362.64	         5096.19	        -266.451
     136	 1.96757	 1.20713	        -5369.98	         5103.45	        -266.536
     137	  1.9682	  1.2067	        -5371.44	         5105.08	        -266.367
     138	 1.96752	 1.20974	        -5369.43	         5103.31	        -266.122
     139	 1.96674	 1.21249	        -5367.38	          5101.3	        -266.076
     140	 1.96622	 1.21388	        -5366.14	         5099.95	         -266.19
     141	 1.96552	 1.21516	        -5364.37	         5098.14	         -266.23
     142	 1.96461	 1.21643	        -5361.81	         5095.77	        -266.042
     143	 1.96463	 1.21437	        -5361.48	         5095.81	        -265.662
     144	 1.96751	 1.20326	        -5368.72	         5103.28	        -265.443
     145	 1.97416	  1.1804	        -5386.19	         5120.53	        -265.665
     146	  1.9833	 1.14996	        -5410.24	         5144.21	        -266.031
     147	 1.99268	 1.11887	        -5434.74	         5168.53	        -266.215
     148	 2.00077	 1.09178	        -5455.76	         5189.51	        -266.254
     149	 2.00688	 1.07091	        -5471.61	         5205.34	        -266.269
     150	 2.01066	  1.0575	        -5481.38	         5215.12	        -266.261
     151	   2.012	 1.05203	         -5484.8	          5218.6	          -266.2
     152	 2.01115	  1.0538	        -5482.51	          5216.4	        -266.106
     153	 2.00863	 1.06127	        -5475.87	         5209.86	        -266.004
     154	 2.00505	 1.07249	        -5466.51	          5200.6	        -265.909
     155	 2.00106	 1.08544	        -5456.09	         5190.27	        -265.826
     156	 1.99726	 1.09823	        -5446.15	          5180.4	        -265.751
     157	 1.99414	 1.10917	        -5438.05	         5172.33	        -265.729
     158	 1.99187	 1.11754	        -5432.29	         5166.44	        -265.849
     159	  1.9899	 1.12473	        -5427.41	         5161.34	        -266.072
     160	  1.9873	  1.1334	        -5420.77	         5154.59	        -266.183
     161	 1.98374	 1.14437	        -5411.42	         5145.37	        -266.059
     162	 1.98003	 1.15507	         -5401.6	         5135.74	        -265.863
     163	 1.97726	 1.16201	        -5394.39	         5128.57	        -265.816
     164	 1.97586	 1.16394	        -5390.78	         5124.94	        -265.844
     165	 1.97577	 1.16108	        -5390.47	         5124.69	        -265.783
     166	 1.97718	 1.15283	        -5394.02	         5128.36	        -265.658
     167	 1.98057	 1.13785	        -5402.73	         5137.14	        -265.585
     168	 1.98611	  1.1158	        -5417.13	         5151.49	         -265.64
     169	 1.99329	 1.08841	        -5435.89	         5170.12	        -265.777
     170	 2.00118	 1.05875	        -5456.45	         5190.57	        -265.882
     171	 2.00892	 1.02964	        -5476.57	         5210.63	        -265.942
     172	 2.01586	 1.00319	        -5494.63	         5228.62	        -266.012
     173	 2.02142	0.981355	        -5509.11	         5243.02	        -266.087
     174	 2.02508	0.965822	        -5518.64	          5252.5	         -266.14
     175	 2.02652	0.957582	         -5522.4	         5256.23	        -266.165
     176	 2.02569	0.956731	        -5520.24	         5254.09	        -266.147
