    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.17912	-1.55884	        -16820.5	         16064.9	        -755.584
       1	 2.17919	-1.55544	          -16821	         16065.4	        -755.622
       2	 2.17934	-1.54502	        -16822.3	         16066.5	         -755.74
       3	 2.17938	-1.52699	        -16822.8	         16066.8	         -755.95
       4	 2.17895	-1.50028	        -16819.9	         16063.7	        -756.276
       5	 2.17752	-1.46326	        -16809.8	         16053.1	        -756.752
       6	  2.1743	-1.41364	        -16786.8	         16029.4	         -757.42
       7	  2.1682	-1.34833	        -16742.8	         15984.4	        -758.324
       8	 2.15779	-1.26336	        -16667.2	         15907.7	        -759.469
       9	 2.14134	-1.15407	        -16547.2	         15786.5	        -760.735
      10	 2.11713	 -1.0161	        -16369.9	         15608.1	        -761.781
      11	 2.08417	-0.84735	        -16127.4	         15365.2	        -762.173
      12	 2.04289	-0.65018	        -15822.6	           15061	        -761.677
      13	 1.99553	-0.432446	        -15472.3	           14712	        -760.293
      14	 1.94595	-0.206852	        -15105.1	         14346.6	        -758.489
      15	  1.8986	0.0120754	        -14754.6	         13997.6	        -756.952
      16	 1.85722	0.212005	        -14448.7	         13692.7	        -756.031
      17	 1.82411	0.385066	        -14204.4	         13448.6	        -755.757
      18	     1.8	0.528125	          -14027	           13271	        -755.971
      19	 1.78445	0.641817	        -13912.8	         13156.4	        -756.439
      20	 1.77631	0.729063	        -13853.4	         13096.4	        -756.979
      21	 1.77419	 0.79376	        -13838.3	         13080.8	        -757.478
      22	 1.77676	0.839865	        -13857.6	         13099.7	        -757.844
      23	 1.78297	0.870683	        -13903.5	         13145.5	        -757.993
      24	  1.7922	0.888366	        -13971.5	         13213.5	            -758
      25	 1.80408	0.894378	        -14059.2	           13301	        -758.178
      26	 1.81797	0.891015	        -14162.1	         13403.4	        -758.623
      27	 1.83286	0.881831	        -14272.2	         13513.1	        -759.074
      28	 1.84767	0.870391	        -14381.7	         13622.3	        -759.431
      29	 1.86153	0.859601	        -14484.2	         13724.5	        -759.763
      30	 1.87377	 0.85184	        -14574.6	         13814.6	        -759.991
      31	 1.88399	0.848529	          -14650	           13890	        -759.984
      32	 1.89232	0.849539	        -14711.2	         13951.4	        -759.814
      33	 1.89922	0.853601	        -14761.9	         14002.2	        -759.664
      34	 1.90521	0.859275	        -14805.9	         14046.3	        -759.572
      35	 1.91075	0.865269	        -14846.6	         14087.1	         -759.45
      36	 1.91631	0.870177	        -14887.5	         14128.2	        -759.307
      37	 1.92237	0.872661	        -14932.1	         14172.8	        -759.298
      38	 1.92907	0.872258	        -14981.6	         14222.1	        -759.478
      39	 1.93621	0.869653	        -15034.5	         14274.8	        -759.722
      40	 1.94344	0.866018	          -15088	         14328.1	        -759.913
      41	 1.95041	0.862398	        -15139.6	         14379.5	        -760.094
      42	 1.95681	0.859853	        -15186.9	         14426.6	         -760.33
      43	 1.96222	0.859715	          -15227	         14466.5	        -760.541
      44	 1.96628	0.863148	          -15257	         14496.4	        -760.614
      45	 1.96891	0.870524	        -15276.3	         14515.7	        -760.549
      46	  1.9703	0.881327	        -15286.4	           14526	         -760.39
      47	 1.97087	 0.89439	        -15290.4	         14530.2	         -760.18
      48	 1.97114	0.908216	        -15292.3	         14532.2	        -760.033
      49	  1.9715	0.921632	        -15294.9	         14534.9	        -760.026
      50	  1.9721	0.934214	        -15299.4	         14539.3	        -760.106
      51	 1.97288	0.946079	        -15305.2	         14545.1	        -760.191
      52	 1.97379	0.957422	          -15312	         14551.8	        -760.191
      53	 1.97488	0.968099	          -15320	         14559.8	        -760.176
      54	 1.97615	0.978034	        -15329.5	         14569.1	        -760.395
