    Step 	 temperature 	 pressure 	 Potential Energy 	 Kinetic Energy 	 Sum Energy

       0	 2.17658	-1.55473	        -4549.74	         4349.82	        -199.922
       1	 2.17665	-1.55139	        -4549.89	         4349.96	        -199.932
       2	 2.17679	-1.54117	        -4550.21	         4350.24	        -199.963
       3	 2.17682	-1.52347	        -4550.32	          4350.3	        -200.018
       4	  2.1764	-1.49726	        -4549.57	         4349.47	        -200.101
       5	 2.17503	-1.46101	        -4546.94	         4346.72	        -200.221
       6	 2.17197	-1.41258	           -4541	         4340.62	        -200.386
       7	 2.16624	-1.34912	        -4529.77	         4329.17	        -200.607
       8	 2.15652	  -1.267	        -4510.66	         4309.77	        -200.886
       9	 2.14124	-1.16195	        -4480.47	         4279.26	        -201.208
      10	  2.1187	-1.02959	        -4435.77	         4234.25	        -201.514
      11	 2.08756	-0.866842	        -4373.79	         4172.09	        -201.691
      12	 2.04766	-0.674228	        -4294.06	         4092.44	        -201.624
      13	 2.00066	-0.457874	        -4199.89	         3998.59	          -201.3
      14	 1.94999	-0.22936	        -4098.26	         3897.44	        -200.828
      15	  1.9001	-0.00315533	        -3998.17	         3797.82	        -200.345
      16	  1.8553	0.206621	        -3908.35	         3708.39	        -199.965
      17	 1.81895	0.388891	        -3835.56	         3635.81	        -199.754
      18	 1.79289	0.537173	         -3783.5	         3583.77	        -199.727
      19	  1.7774	0.649884	         -3752.7	         3552.86	        -199.849
      20	 1.77148	0.729537	        -3741.09	         3541.04	        -200.055
      21	 1.77336	0.781189	        -3745.06	         3544.78	        -200.277
      22	 1.78103	0.810809	        -3760.58	         3560.11	         -200.47
      23	 1.79267	0.824103	        -3783.96	         3583.34	         -200.62
      24	 1.80676	 0.82594	        -3812.21	         3611.48	        -200.731
      25	 1.82214	0.820301	        -3843.01	         3642.18	        -200.823
      26	 1.83786	0.810524	        -3874.46	         3673.56	        -200.909
      27	 1.85311	0.799503	        -3904.99	            3704	        -200.989
      28	 1.86724	0.789649	        -3933.27	         3732.21	        -201.058
      29	 1.87979	0.782752	        -3958.38	         3757.28	        -201.103
      30	 1.89059	0.779712	        -3979.94	         3778.84	        -201.099
      31	 1.89988	 0.78016	        -3998.44	         3797.39	        -201.047
      32	 1.90821	0.782723	        -4015.02	         3814.01	        -201.013
      33	 1.91598	0.786355	        -4030.58	         3829.54	        -201.041
      34	 1.92322	0.791254	        -4045.08	         3843.99	         -201.09
      35	  1.9297	0.798238	        -4058.05	         3856.92	        -201.131
      36	 1.93513	0.808204	        -4068.96	         3867.77	        -201.192
      37	 1.93913	0.822384	        -4076.99	         3875.75	        -201.243
      38	 1.94145	0.841618	        -4081.58	         3880.38	        -201.206
      39	 1.94242	0.864966	        -4083.41	         3882.32	        -201.097
      40	 1.94281	0.890083	        -4084.14	          3883.1	        -201.037
      41	 1.94311	0.915448	        -4084.78	          3883.7	        -201.084
      42	 1.94317	0.941437	        -4084.96	         3883.82	        -201.145
      43	 1.94272	0.968739	        -4084.06	         3882.92	        -201.138
      44	 1.94186	0.996837	         -4082.3	          3881.2	        -201.105
      45	 1.94087	 1.02466	        -4080.33	         3879.22	        -201.105
      46	  1.9399	 1.05164	        -4078.41	         3877.29	        -201.123
      47	 1.93898	 1.07756	        -4076.59	         3875.44	        -201.148
      48	 1.93805	 1.10237	        -4074.78	         3873.58	        -201.195
