    Step 	 <r-r'>^2 	 <v-v'>^2 
186	1.87506e-05	0.00124511
187	1.98062e-05	0.00127598
188	2.08921e-05	0.00128777
189	2.19848e-05	0.00131375
190	2.31214e-05	0.00135624
191	2.42969e-05	0.00140479
192	2.55827e-05	0.00146175
193	2.68033e-05	0.00154264
194	2.80526e-05	0.00164729
195	2.9336e-05	0.00175655
196	3.06832e-05	0.00187561
197	3.20653e-05	0.00202186
198	3.35053e-05	0.00217867
199	0.0399967	0.00224047
200	0.0780786	0.0023207
201	0.263556	0.00242625
202	0.0806979	0.00250554
203	0.0806739	0.00259721
204	0.0806503	0.0027121
205	0.0550893	0.00285348
206	0.022283	0.00295654
207	0.0191695	0.00300654
208	0.0530402	0.00309433
209	5.54857e-05	0.00318371
210	5.82582e-05	0.00342349
211	6.12771e-05	0.00392457
212	0.0648226	0.00440774
213	0.0248924	0.00474522
214	0.0279303	0.00498384
215	7.54083e-05	0.00501211
216	0.0385824	0.00504325
217	0.103255	0.00518319
218	0.147329	0.00533475
219	0.0467191	0.00556292
220	9.89148e-05	0.00584547
221	0.0719699	0.00622639
222	0.116487	0.00644713
223	0.0345391	0.00657501
224	0.0346176	0.0070064
225	0.0346982	0.00734559
226	0.130438	0.00734608
227	0.194171	0.00738066
228	0.157046	0.00764875
229	0.0865802	0.0079849
230	0.030566	0.00838061
231	0.0619431	0.00888457
232	0.0001891	0.00950227
233	0.0762318	0.010337
234	0.0858886	0.0112181
235	0.193889	0.0119046
236	0.079924	0.0126601
237	0.080004	0.013297
238	0.0288962	0.0143255
239	0.0174228	0.0153604
240	0.000272354	0.015664
241	0.000284968	0.0156701
242	0.000298221	0.015673
243	0.0792803	0.0156586
244	0.000326929	0.0156609
245	0.000341979	0.0161806
246	0.039315	0.0177685
247	0.0737227	0.0198505
248	0.0860842	0.0221218
249	0.0473581	0.0240676
250	0.0986759	0.0251507
251	0.098556	0.0264899
252	0.0178448	0.0284473
253	0.0179433	0.0294217
254	0.0180439	0.029754
255	0.0724107	0.0300541
256	0.149644	0.0305605
257	0.162225	0.0307061
258	0.176978	0.0309754
259	0.144655	0.0317604
260	0.0670117	0.0333749
261	0.0672181	0.0352336
262	0.0888832	0.0372064
263	0.149411	0.0399223
264	0.193745	0.042585
265	0.194048	0.0450832
266	0.147427	0.049975
267	0.0983354	0.0536075
268	0.126039	0.0546232
269	0.0983713	0.0561505
270	0.2164	0.0595091
271	0.345582	0.0640224
272	0.226409	0.0685811
273	0.218459	0.0720834
274	0.218318	0.0737973
275	0.143057	0.0760556
276	0.127978	0.0790341
277	0.188175	0.081588
278	0.19796	0.0831011
279	0.173672	0.0869678
280	0.173623	0.091719
281	0.521541	0.095201
282	0.472564	0.100588
283	0.493875	0.1085
284	0.378502	0.113693
285	0.38228	0.118436
286	0.411993	0.123957
287	0.217417	0.130204
288	0.260341	0.135951
289	0.167017	0.141509
290	0.254972	0.145309
291	0.316258	0.14808
292	0.279554	0.150531
293	0.169888	0.156116
294	0.208581	0.163373
295	0.161896	0.170295
296	0.229215	0.17934
297	0.440797	0.189261
298	0.457063	0.202161
299	0.420598	0.215233
300	0.53605	0.224975
301	0.571387	0.227652
302	0.631801	0.229551
303	0.554597	0.232864
304	0.645667	0.23766
305	0.520753	0.243462
306	0.621863	0.249157
307	0.621654	0.253316
308	0.509021	0.256195
309	0.638742	0.262116
310	0.781128	0.271926
311	0.759546	0.279356
312	0.854694	0.287099
313	0.941607	0.299066
314	0.895171	0.314705
315	1.02278	0.330214
316	1.05069	0.347234
317	1.05039	0.36626
318	0.967546	0.388754
319	0.967484	0.412357
320	1.116	0.436315
321	1.19026	0.457566
322	1.15905	0.468933
323	1.28164	0.474445
324	1.23854	0.481827
325	1.2807	0.494358
326	1.21912	0.50782
327	1.16903	0.521989
328	1.1998	0.537466
329	1.17682	0.552187
330	1.10929	0.565488
331	1.17052	0.579853
332	1.23093	0.597932
333	1.22948	0.61548
334	1.23519	0.629842
335	1.38569	0.641746
336	1.3625	0.651578
337	1.10194	0.661674
338	1.13165	0.675313
339	1.1933	0.691123
340	1.21697	0.706323
341	1.25739	0.718935
342	1.38437	0.732213
343	1.20402	0.75275
344	1.15134	0.78164
345	1.27073	0.811165
346	1.34003	0.841067
347	1.37719	0.869343
348	1.40732	0.891763
349	1.40693	0.911745
350	1.38867	0.929303
351	1.4793	0.945518
352	1.48155	0.965197
353	1.46226	0.985665
354	1.46587	1.0034
355	1.43593	1.01809
356	1.40218	1.02543
357	1.42287	1.03029
358	1.42272	1.0378
359	1.42266	1.04446
360	1.48751	1.05334
361	1.48939	1.06313
362	1.62411	1.07712
363	1.69468	1.09217
364	1.79549	1.1074
365	1.7745	1.13053
366	1.85016	1.1555
367	1.87335	1.18358
368	1.66624	1.21279
369	1.64752	1.24266
370	1.71461	1.2696
371	1.84722	1.29343
372	2.08429	1.30633
373	2.15299	1.31278
374	2.2406	1.31606
375	2.21498	1.32314
376	2.24064	1.33306
377	2.2024	1.34855
378	2.17286	1.36858
379	2.21139	1.38528
380	2.16718	1.39453
381	2.29557	1.39955
382	2.42259	1.40358
383	2.46773	1.41317
384	2.39156	1.42767
385	2.48769	1.44277
386	2.52058	1.45468
387	2.48407	1.46203
388	2.52592	1.47319
389	2.64696	1.48668
390	2.6807	1.50044
391	2.67377	1.51426
392	2.75476	1.52337
393	2.75772	1.53162
394	2.86429	1.53739
395	2.78948	1.53591
396	2.84011	1.53286
397	2.85959	1.53155
398	2.86243	1.53605
399	2.92377	1.54805
400	2.88845	1.55756
401	2.89076	1.55983
402	2.91881	1.56363
403	2.92119	1.567
404	2.81155	1.56907
405	2.8139	1.57159
406	2.89418	1.57856
407	2.89153	1.58527
408	2.86213	1.58953
409	2.93163	1.59301
410	2.90509	1.59457
411	3.07203	1.59756
412	3.28061	1.604
413	3.42786	1.60925
414	3.59103	1.61964
415	3.68917	1.63642
416	3.73431	1.65877
417	3.74085	1.685
418	3.95845	1.71057
419	4.04894	1.72197
420	4.10072	1.72229
421	4.14573	1.7219
422	4.19206	1.72551
423	4.27292	1.73459
424	4.46604	1.74196
425	4.50039	1.73898
426	4.50375	1.73551
427	4.49082	1.73428
428	4.51282	1.73245
429	4.54956	1.72992
430	4.55037	1.72709
431	4.55566	1.72181
432	4.60898	1.71533
433	4.82092	1.71188
434	4.84411	1.70907
435	4.82869	1.70641
436	4.87319	1.70265
437	4.99974	1.70079
438	5.07303	1.70128
439	5.21489	1.70298
440	5.2847	1.70449
441	5.22269	1.707
442	5.21083	1.70904
443	5.08976	1.704
444	4.96911	1.69753
445	5.10099	1.69089
446	5.10354	1.67573
447	5.35781	1.6619
448	5.27324	1.65621
449	5.15062	1.65641
450	5.09234	1.65999
451	5.09537	1.66496
452	5.29964	1.67274
453	5.32596	1.68315
454	5.06526	1.69651
455	5.02939	1.70538
456	5.21642	1.70426
457	5.27243	1.70015
458	5.2622	1.70018
459	5.15525	1.70267
460	5.15766	1.7005
461	5.25908	1.69072
462	5.26122	1.6814
463	5.3072	1.6825
464	5.33027	1.68647
465	5.10139	1.69354
466	5.12099	1.70914
467	5.06914	1.71922
468	5.16738	1.7217
469	5.19237	1.71439
470	5.1926	1.7006
471	5.2031	1.68652
472	5.2117	1.67272
473	5.22189	1.65743
474	5.42464	1.64441
475	5.49636	1.63625
476	5.47537	1.63159
477	5.37046	1.62711
478	5.66649	1.62389
479	5.64245	1.62085
480	5.73584	1.61653
481	5.70887	1.6099
482	5.64021	1.60933
483	5.64305	1.61582
484	5.70613	1.62813
485	5.7736	1.63651
486	6.03298	1.63862
487	6.08313	1.64355
488	6.19053	1.65719
489	6.25453	1.67384
490	6.22119	1.69244
491	6.12625	1.71111
492	6.1617	1.72876
493	6.19637	1.74074
494	6.34328	1.74545
495	6.28503	1.74323
496	6.2343	1.7359
497	6.17381	1.72438
498	6.1846	1.70646
499	6.1854	1.6863
500	6.30874	1.67135
501	6.21807	1.662
502	6.21921	1.65605
503	6.34511	1.65106
504	6.40781	1.64316
505	6.46104	1.6344
506	6.3904	1.62768
507	6.76176	1.62174
508	6.85832	1.61028
509	7.04163	1.59459
510	7.13177	1.58027
511	7.10077	1.56857
512	7.10275	1.56416
513	7.15154	1.57281
514	7.20166	1.58312
515	7.31289	1.59354
516	7.10189	1.61099
517	7.10424	1.63554
518	7.08684	1.65832
519	7.07351	1.67517
520	6.78186	1.68721
521	6.85106	1.69068
522	6.80783	1.68729
523	6.80914	1.68978
524	6.71384	1.70102
525	6.76681	1.71227
526	6.78574	1.72074
527	6.99708	1.72755
528	7.0212	1.73335
529	7.11159	1.73514
530	7.00183	1.72727
531	7.00179	1.71034
532	7.00184	1.69248
533	6.9911	1.67767
534	7.0685	1.66676
535	7.11155	1.65847
536	7.27558	1.65234
537	7.30398	1.64712
538	7.38395	1.64193
539	7.30086	1.6439
540	7.44711	1.65197
541	7.44732	1.66221
542	7.52148	1.6775
543	7.44228	1.69695
544	7.32565	1.71453
545	7.35833	1.72732
546	7.35555	1.73299
547	7.38369	1.72951
548	7.39693	1.7215
549	7.43888	1.71026
550	7.4695	1.70153
551	7.61976	1.70124
552	7.51244	1.70651
553	7.43362	1.71349
554	7.64742	1.71687
555	7.7898	1.71689
556	7.88144	1.71661
557	7.83645	1.71636
558	7.92499	1.71385
559	7.99656	1.71505
560	8.15412	1.7205
561	8.21653	1.72637
562	8.23546	1.71823
563	8.30551	1.7022
564	8.26741	1.68958
565	8.35509	1.67704
566	8.35542	1.66278
567	8.4119	1.64587
568	8.3856	1.62819
569	8.51902	1.60896
570	8.56031	1.58642
571	8.63085	1.5696
572	8.90655	1.56255
573	8.89876	1.55949
574	8.72095	1.5538
575	8.69923	1.54311
576	8.71216	1.5346
577	8.71381	1.53216
578	8.81469	1.53752
579	9.07039	1.54993
580	9.07217	1.5605
581	9.09731	1.56437
582	9.13093	1.56223
583	9.16446	1.55148
584	9.11957	1.53462
585	9.14341	1.52315
586	9.15473	1.52319
587	9.23649	1.52478
588	9.42932	1.52667
589	9.47139	1.5286
590	9.42505	1.52912
591	9.44262	1.52784
592	9.48565	1.52767
593	9.62527	1.52941
594	9.68909	1.53166
595	9.57827	1.5348
596	9.54799	1.534
597	9.46533	1.53757
598	9.46894	1.54728
599	9.39293	1.55557
600	9.44055	1.56385
601	9.42956	1.57607
602	9.47027	1.59869
603	9.64232	1.6267
604	9.68583	1.65205
605	9.75726	1.67063
606	9.68048	1.67662
607	9.72853	1.66562
608	9.79783	1.64736
609	9.73811	1.63016
610	9.7781	1.61081
611	9.74501	1.59241
612	9.82682	1.58298
613	9.78349	1.58407
614	9.78631	1.58373
615	9.74137	1.59353
616	9.88105	1.60969
617	9.81593	1.62753
618	9.89798	1.64308
619	9.89201	1.65567
620	9.93565	1.66755
621	10.1494	1.67912
622	10.1013	1.68699
623	10.0625	1.68698
624	10.0933	1.68206
625	10.0901	1.68032
626	9.89837	1.68731
627	9.81299	1.70104
628	9.92178	1.71755
629	10.1261	1.72929
630	10.1453	1.73133
631	10.2946	1.72764
632	10.3517	1.72537
633	10.2688	1.72549
634	10.3928	1.7226
635	10.4072	1.72248
636	10.2751	1.72782
637	10.2775	1.73385
638	10.2427	1.7357
639	10.2627	1.73664
640	10.0694	1.74224
641	10.1172	1.75335
642	10.1778	1.76733
643	10.1539	1.77895
644	10.3341	1.77926
645	10.3525	1.77274
646	10.482	1.76552
647	10.4491	1.75786
648	10.4926	1.74683
649	10.5161	1.73618
650	10.6021	1.73067
651	10.5413	1.72731
652	10.5192	1.72524
653	10.471	1.72901
654	10.4948	1.74105
655	10.4133	1.7597
656	10.5305	1.78192
657	10.5847	1.79951
658	10.8135	1.80497
659	10.7929	1.80363
660	10.7331	1.80118
661	10.8592	1.80172
662	10.8658	1.80868
